noteID,note_fr,translated_by
1,"La locution 'mauvais temps' se rapporte aux conditions qui existent generalement pendant les precipitations, et immediatement avant ou apres celles-ci.",Original
2,"(voir Note 1) 1) Pour l’emploi du chiffre du code 15, voir la règle 12.1.4. 2) «Clair» et «couvert» portent les chiffres 0 et 8 respectivement.",Original
3,L'expression 'moyenne d'ensemble' indique que l'on prend la moyenne d'un certain nombre de valeurs distinctes correspondant a une serie de situations dans le temps.,Original
4,L'expression 'moyenne sur une certaine periode' indique qu'il est etabli en permanence une moyenne des valeurs sur une periode donnee.,Original
5,(0 = bonne; 1 = mauvaise),Original
6,(Voir la table de code commune C-1 dans la Partie C/c.),Original
7,(Voir la table de code commune C-2 dans la Partie C/c.),Original
8,(Voir la table de code commune C-3),Original
9,(Voir la table de code commune C-4),Original
10,(Voir la table de code commune C-5 dans la Partie C/c.),Original
11,(Voir la table de code commune C-7 dans la Partie C/c.),Original
12,(Voir la table de code commune C-8 dans la Partie C/c.),Original
13,(See Common Code table C-14 Part C/c.),
14,(A definir par les centres proprement dits - Voir la table de code commune C-12 dans la Partie C/c.),Original
15,(A etablir),Original
16,"Une séquence d’au moins deux paires de coordonnées de position, telles que latitude et longitude, définit une ligne ou un polygone. Les points sont reliés dans l’ordre indiqué dans le message. Toute zone décrite se situera à gauche de la ligne dessinée dans le sens indiqué. Cette définition s’applique à des polygones simples, non intersectants et sans trou.",Original
17,"Si tous les bits sont mis à 0, cela signifie que l’étalonnage est correct.",Original
18,Toutes les statistiques de premier ordre sont exprimees dans les unites definies par les descripteurs de donnees d'origine.,Original
19,"1) La signification du champ associé correspond, au début, à la qualité des données observées. 2) Le chiffre du code 21 peut être utilisé dans des messages corrigés où les valeurs substituées/corrigées sont déterminées. 3) D’autres applications peuvent être prévues.",Original
20,Une mauvaise qualite est actuellement definie comme correspondant a un angle de roulis superieur a 5 degres par rapport a la verticale.,Original
21,"En commençant par la position du premier bit (bit de plus fort poids), si le bit est mis à 1, le canal est utilisé. Si le bit est mis à zéro, le canal n’est pas utilisé.",Original
22,"L'expression 'mesure ciel couvert' indique que les valeurs de sondage sont obtenues uniquement a partir de donnees HIRS stratospheriques, de donnees MSU et de donnees SSU. Le ciel etant couvert, on n'a pas utilise de donnees HIRS tropospheriques.",Original
23,HIRS* signifie: canaux HIRS 1 (669 cm–1) 2 (679 cm–1) 3 (690 cm–1) 4 (2358 cm–1),Original
24,"Bits 1 a 4: INDICATIF DE DEFAUT DE L'HEURE. Lorsque tous les bits sont mis a 0, cela signifie que l'heure de balayage correspond a l'heure prevue.",Original
25,"Bits 11 a 17: INDICATIF DE DEFAUT DE LOCALISATION GEOGRAPHIQUE. Lorsque tous les bits sont mis a 0, cela signifie que la localisation geographique est normale.",Original
26,"Bits 2 a 21 utilises pour le sondeur HIRS, mais seuls les bits 2 a 16 sont utilises pour le sondeur AMSU-A et les bits 2 a 6 pour le sondeur AMSU-B.",Original
27,"Bits 5 a 10: INDICATIF DE DEFAUT D'ETALONNAGE. Lorsque tous les bits sont mis a 0, cela signifie que l'etalonnage est normal. Lorsque l'un ou l'autre des bits 5, 7 et 10 est mis a 1, cela signifie que des coefficients secondaires d'etalonnage ont ete utilises.",Original
28,"L'expression 'mesure ciel clair' indique que les valeurs de sondage ont ete obtenues a partir des valeurs de la luminance energetique par ciel clair derivees de mesures reelles sur point a ciel degage. On s'est servi de donnees HIRS tropospheriques et stratospheriques, ainsi que de donnees MSU et SSU.",Original
29,Le sondage par atmosphere claire indique que le sondage a ete effectue a partir d'un ensemble de valeurs de luminance claire a l'aide de toutes les valeurs de luminance du sondeur disponible.,Original
30,"L'expression 'mesure ciel couvert' indique que les valeurs de sondage sont obtenues uniquement a partir de donnees HIRS stratospheriques, de donnees MSU et de donnees SSU. Le ciel etant couvert, on n'a pas utilise de donnees HIRS tropospheriques.",Original
31,Le sondage par atmosphere nuageuse indique qu'il n'a pas ete possible d'identifier des luminances claires suffisantes dans la zone de sondage. Le sondage est calcule a partir du sommet des nuages (pression au sommet des nuages superieure ou egale a 780 hPa) vers le haut.,Original
32,1) Chiffres du code 1 à 9:  durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d’établissement du profil du courant). 2) Chiffres du code 11 à 19:  période de la mesure du courant (méthode de la dérive). 3) H = heure d’observation.,Original
33,1) Chiffres du code 1 à 9:  durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d’établissement du profil du courant). 2) Chiffres du code 11 à 19:  période de la mesure du courant (méthode de la dérive). 3) H = heure d’observation.,Original
34,"1) Entre les chiffres du code 100–199, la présente table de code comprend des termes à plusieurs niveaux afin de servir aux stations simples et aux stations automatiques devenant de plus en plus complexes. 2) Les termes génériques se rapportant au temps (par exemple brouillard, bruine) sont destinés à être utilisés dans des stations automatiques pouvant déterminer les types de temps sans pouvoir fournir d'autres informations.  Les termes génériques figurent tous dans la table de code en lettres majuscules. 3) Les chiffres du code pour les catégories de précipitations (chiffres du code 140 à 148) sont disposés par ordre de complexité croissante.  Par exemple, une station très simple qui ne peut déceler que la présence ou l'absence de précipitations utilise le chiffre du code 140 (précipitations).  Au niveau suivant, une station automatique pouvant déceler le volume, mais pas le type, utilise le chiffre du code 141 ou 142.  Une station automatique qui peut déceler le type général (liquide, solide, se congelant) et le volume général utilise les chiffres du code 143 à 148.  Une station automatique qui peut signaler les types réels de précipitations (par exemple bruine ou pluie), mais non leur volume, utilise le nombre entier de la dizaine correspondante (par exemple 150 pour la catégorie bruine; 160 pour la catégorie pluie).",Original
35,Le descripteur 0 25 009 est caduc; le remplacer par le descripteur 0 25 029.,Original
36,"Les statistiques sur les differences sont des valeurs differentielles ayant des dimensions similaires a celles des valeurs observees correspondantes en ce qui concerne les unites, mais dont les limites sont centrees sur le zero.",Original
37,"DIODE est l'abreviation de 'determination immediate d'orbite par DORIS embarque'. C'est une partie de l'instrument DORIS, qui calcule la position et la vitesse du satellite.",Original
38,Les entrees 1 et 2 ne doivent pas etre utilisees.,Original
39,"1) L’EPSG est un jeu de données sur les systèmes de coordonnées et les transformations qu’ils subissent, constitué et tenu à jour à l’origine par l’ European Petroleum Survey Group l’Association internationale des producteurs de pétrole et de gaz qui s’en occupe, par le biais du sous-comité à la géodésie relevant de son Comité de géomatique. 2) Lorsque le chiffre du code 4 est utilisé pour préciser un système de coordonnées de référence, la donnée ellipsoïdale est alors un ellipsoïde de révolution aplati, dont le grand axe s’oriente dans le même plan que le plan équatorial et le petit axe coupe le méridien d’origine près du pôle d’origine. Le Nord correspond à la direction de l’équateur au pôle d’origine. L’Est correspond au sens inverse des aiguilles d’une montre à partir du méridien d’origine vu depuis le pôle Nord. Dans ce cas, il faut préciser le demi-grand axe et le demi-petit axe (en se servant par exemple des descripteurs 0 01 152 et 0 01 153).",Original
40,"Pour l'emploi du chiffre du code 15, voir la regle 12.1.4.",Original
41,Le niveau de congelation est le niveau auquel la temperature descend pour la premiere fois a 0 degres C.,Original
42,"1) La signification du champ associé correspond, au début, à la qualité des données observées. 2) Le chiffre du code 21 peut être utilisé dans des messages corrigés où les valeurs substituées/corrigées sont déterminées. 3) D’autres applications peuvent être prévues.",Original
