noteID,note_fr,translation_source
1,"Le descripteur 0 15 003 indique la pression partielle de l’ozone, mesurée au niveau de pression défini par le descripteur 0 07 004.",PDF
2,"Le descripteur 0 15 004 (CF) se définit ainsi: CF = TOI/TOS où TOI est la valeur intégrée de l’ozone obtenue “en même temps qu’un sondage” effectué par un spectrophotomètre Dobson ou Brewer sur le site ou «à proximité» et où TOS est l’ozone total obtenu par le sondage. TOS est la somme de l’ozone intégré au-dessous du niveau le plus bas de pression obtenu par le sondage et de l’évaluation de la quantité ci-dessus. En l’absence de toute mesure par spectrophotomètre, CF = valeur manquante.",PDF
3,"Le descripteur 0 15 005 est la valeur obtenue par suite de l’intégration verticale des valeurs de sondage (0 15 003) mesurées au-dessous du niveau le plus bas de pression obtenue par la sonde, multipliées par 0 15 004.",PDF
9,"0 20 121 combiné avec 0 25 035, ou série de zéros en l’absence de définition. D’ordinaire +1.000 V.",PDF
10,"0 20 122 combiné avec 0 25 035, ou série de zéros en l’absence de définition. D’ordinaire +2000 A.",PDF
13,"L’introduction du descripteur 0 22 186 sert à indiquer la direction de n’importe quelle vague, par opposition à la direction des vagues dominantes (0 22 076), à la valeur moyenne (0 22 086) et à la direction principale (0 22 087).",PDF
14,"L’introduction du descripteur 0 22 187 sert à indiquer la dispersion directionnelle de n’importe quelle vague, par opposition à celle de la vague dominante (0 22 077).",PDF
15,0 25 014 échelle des valeurs en entrée: 0 – 2300.,PDF
20,Une nébulosité (totale) de valeur 113 signifie «Ciel obscurci par le brouillard et/ou d’autres phénomènes météorologiques».,PDF
21,"Un centre de production peut vouloir faire référence à l’application d’où proviennent les informations sur la qualité, etc. Dans ce cas, il peut faire appel au descripteur 0 01 032, mais la table de code correspondante variera d’un centre à un autre.",PDF
23,"Une valeur de précipitation de –0,1 kg m –2 avant la mise à l’échelle (–1 après la mise à l’échelle ou en CREX) indique qu’il y a «trace» de précipitations (non mesurable, moins de 0,05 kg m –2 )",PDF
24,Une valeur de visibilité dominante de 10 000 m avant mise à l’échelle (1 000 après mise à l’échelle) est utilisée pour indiquer une visibilité dominante d’au moins 10 km.,PDF
25,Il est possible d’annuler une signification précédemment définie en transmettant une «valeur manquante» à partir de la table de code ou de la table d’indicateurs appropriée.,PDF
