noteID,note_es,translation_source
0,,PDF
1,El descriptor 3 04 035 se ha relegado.,PDF
2,La secuencia 3 07 082 se ha relegado.,PDF
3,El descriptor 3 10 027 ha dejado de usarse.,PDF
4,"Se necesitan algunos descriptores más para reducir el volumen de trabajo con respecto a la base de datos de la estación, por ejemplo para la identificación del estado federal y la identificación de autopista.",PDF
5,"Este valor, que ha sido proporcionado por el centro secundario ARINC, es más bien un pseudovalor que el valor real. Solo ARINC conoce la relación entre este pseudovalor y el valor verdadero.",PDF
6,Valores de las tablas de cifrado : FRQ = cifra de clave 8 (8 octas) : OCNL EMBD : ISOL = cifra de clave 6 (6 octas) = cifra de clave 2 (2 octas) cuando se trata de un cumulonimbus,PDF
7,"Los mensajes BUFR compuestos pueden describirse dentro de la Sección de descripción de datos, según corresponda (por ejemplo: 3 01 041, 3 04 001, 3 04 002, 3 04 003, 3 04 004, 3 04 005, 3 04 006).",PDF
8,Los datos representados por esta secuencia deben ordenarse en orden descendiente respecto de la presión.,PDF
9,La “Fecha/hora de lanzamiento” indica la fecha/hora de inicio de las mediciones de descenso.,PDF
10,"El decibelio (dB) es una unidad logarítmica que mide la potencia relativa o los valores relativos de dos densidades de flujo, especialmente de la intensidad del sonido y de las densidades de la potencia de la radio y del radar. En la meteorología por radar, la escala logarítmica, expresada en dBZ, se usa para medir el factor de reflectividad del radar (obtenido del Glosario de Meteorología de la Sociedad Meteorológica Americana).",PDF
11,No debería utilizarse el descriptor 3 01 002.,PDF
12,Debería utilizarse el descriptor 3 01 055 en vez del 3 01 035 para cifrar información sobre boyas/plataformas en movimiento.,PDF
13,Debería utilizarse el descriptor 3 08 007 en vez del 3 08 003 para cifrar la información proveniente de boyas/ plataformas en movimiento.,PDF
14,El descriptor 3 40 010 debería utilizarse con preferencia al descriptor 3 40 005.,PDF
15,Los descriptores del 3 03 021 al 3 03 027 no están disponibles en la clave CREX.,PDF
16,La identificación de la hora se refiere al comienzo del período de un mes.,PDF
17,En cada posición de los sensores de la carretera se mide: – la temperatura de la superficie de la carretera; – la temperatura de la subsuperficie de la carretera; – el espesor de la lámina de agua; – la condición de la superficie de la carretera.,PDF
20,Tratándose de MOD OCNL SEV se empleará la cifra 12 (máxima en cielo despejado) o 13 (máxima en nubes).,PDF
21,"La dirección de desplazamiento del frente debe indicarse siempre, puesto que es necesaria para el trazado de los mapas. Una velocidad de desplazamiento del frente igual a cero indicaría un frente lento. En la tabla de cifrado existe un valor para representar un frente casi estacionario.",PDF
22,Espectros direccionales completos (Ib = 1 en WAVEOB con más de una dirección por banda de número de onda). El conteo de repeticiones es el número de direcciones por banda de número de onda que debería abarcar normalmente todo el círculo.,PDF
23,"No obstante, si las navieras lo requieren cuando se incorporan buques de observación voluntaria o si se solicita ulteriormente, para los informes de los buques en los que se utiliza el modelo 3 08 014, la señal de llamada del buque u otro identificador se puede encriptar en los informes BUFR mediante la secuencia 3 01 018 de acuerdo con el método siguiente: – La señal de llamada normal (es decir, el descriptor 0 01 011) se codificará con un valor faltante. – El método de encriptación se indicará usando el método indicado por 0 25 185. – La versión de la clave de encriptación utilizada se indicará mediante 0 25 186.",PDF
24,"Si se utiliza el campo 0 01 011, este campo resultará faltante, y recíprocamente.",PDF
25,"Si durante el período especificado se modificó la altura del sensor, el valor será el que había en la mayor parte del período.",PDF
26,"Si la radiosonda está equipada con un sensor de humedad relativa, 0 13 009 en la secuencia se notificará con carácter obligatorio y la temperatura del punto de rocío se podrá incluir como valor derivado. Si la radiosonda está equipada con un sensor de temperatura del punto de rocío, 0 12 103 en la secuencia se notificará y 0 13 009 se fijará en valor faltante.",PDF
27,"En caso de mediciones de la precipitación, el período de un mes comienza a las 0600 UTC del primer día del mes y finaliza a las 0600 UTC de primer día del mes siguiente.",PDF
28,"En el contexto del descriptor 3 10 067, los valores de presión que siguen inmediatamente a la aparición de componentes de viento deben entenderse como correspondientes a esos componentes.",PDF
29,"En este caso, el término “adelgazamiento” hace referencia a un método que es posible aplicar para seleccionar un subconjunto de niveles de un modelo que podría tener gran número de niveles verticales nativos. Al selec- cionar solo un subconjunto se reduce el tamaño del pseudosondeo, posiblemente a costa de una pérdida de información y de un mayor procesamiento.",PDF
30,"En esta secuencia para la representación de los datos de descenso de radiosondas, no es obligatorio indicar los niveles estándares mediante la significación del sondeo vertical ampliado (0 08 042).",PDF
