noteID,note_ru,translation_source
1,"0 15 003 — это парциальное давление озона, измеренное на уровне давления, определяемого 0 07 004.",PDF
2,"0 15 004 — коэффициент корректировки (CF), определяемый как: CF = TOI/TOS, где TOI — интегрированное значение озона, полученное «одновременно с зондированием» по спектрофотометру Добсона или Брюера на станции или «поблизости», а TOS — суммарный озон, рассчитанный по данным зондирования. TOS — сумма интегрированного озона ниже самого низкого уровня давления, достигнутого зондированием, и рассчитанного вышеуказанного количества. В отсутствие каких-либо измерений спектрофотомера, CF = отсутствующее значение.",PDF
3,"0 15 005 — величина, получаемая в результате вертикальной интеграции значений зондирования (0 15 003), измеренных ниже самого низкого уровня давления, достигнутого зондом, умноженной на 0 15 004.",PDF
9,"Дескриптор 0 20 121, используемый в сочетании с 0 25 035, или все равно нулю, если не определено. Обычно +1 000 В.",PDF
10,"Дескриптор 0 20 122, используемый в сочетании с 0 25 035, или все равно нулю, если не определено. Обычно +2 000 А.",PDF
15,"0 25 014 — номинальный входной диапазон 0–2300.",PDF
20,"Значение 113 облачности (общей) должно указывать: «Небо закрыто туманом и/или другими метеорологическими явлениями».",PDF
21,"Центр-производитель может пожелать сделать ссылку на применение, в результате которого производится информация о качестве и т. д.; в этом случае может быть использован дескриптор 0 01 032, однако соответствующие кодовые таблицы будут меняться в зависимости от того или иного центра.",PDF
23,"Значение осадков –0,1 кг·м-2 до масштабирования (–1 после масштабирования или в коде CREX) должно указывать на «следы» осадков (не поддающиеся измерению, менее 0,05 кг·м-2).",PDF
24,"Значение преобладающей видимости до масштабирования 10 000 м (1 000 после масштабирования) используется для сообщения преобладающей видимости 10 км или более.",PDF
25,"Ранее определенное значение может быть отменено путем передачи «отсутствующего значения» из соответствующей кодовой таблицы или таблицы флагов.",PDF
26,"Значение высоты снежного покрова –0,01 м до масштабирования (–1 после него или в коде CREX) должно указывать незначительную высоту снега (менее 0,005 м). Значение высоты снежного покрова –0,02 м (–2 после масштабирования или в коде CREX) должно указывать «снежный покров несплошной».",PDF
27,"Все время дается во Всемирном скоординированном времени (ВСВ), если не предусмотрено иного.",PDF
28,"Значение интенсивности осадков –0,00001 кг·м-2·с-1 до масштабирования (–1 после масштабирования) и –0,01 мм·ч-1 до масштабирования (–1 после масштабирования) должно указывать на «следы» осадков в BUFR и в CREX соответственно.",PDF
29,"Для масштабированных излучений (0 14 046) было введено отклонение. Это было сделано для учета негативных излучений, которые могут быть измерены на некоторых номерах волн либо по причине воздействия шума, либо по причине остаточной последующей аподизации. Отклонение — это порядок величины, который превышает ожидаемый максимальный негативный сдвиг на основании шума прибора, в результате чего образуется достаточный предел. При этом не происходит значительного уменьшения динамического диапазона.",PDF
30,"Угол ошибки, определяемый 0 20 112, 0 20 113 и 0 20 114. Декартовы координаты со знаковым битом.",PDF
31,"Угол ошибки, определяемый 0 20 113 и 0 20 114. Декартовы координаты со знаковым битом.",PDF
32,"Пеленг или азимут следует использовать только для установленного местоположения и не должен переопределять это местоположение.",PDF
33,"Номера версии эталонной таблицы BUFR описаны в общей кодовой таблице С-0 и примечании 2 к разделу 1 правил BUFR.",PDF
34,"В некоторых датчиках используется определение величины тока выше порогового значения, в других просто измеряется скачок напряжения.",PDF
35,"В излучении канала (0 14 043) используются единицы мкм для представления волнового числа.",PDF
36,"Для излучения в канале (0 14 045) используются единицы см для представления волнового числа.",PDF
37,"Концентрация гидрометеоров в облаке (0 20 130) указывает на количество гидрометеоров в 1 дм3.",PDF
38,"Каждый центр должен разрабатывать кодовую таблицу 0 01 032.",PDF
39,"Относительно дескриптора 0 13 009 поставщики этих данных желают сохранить «сырые» (т. е. необработанные) величины относительной влажности, сообщаемые этим датчиком, для того чтобы суметь обнаружить, наряду с другими аспектами, когда датчик начнет неправильно срабатывать. Это происходит, когда появляется отрицательное значение. Для всемирного обмена с другими странами возможно направление только лишь обработанных данных.",PDF
40,"Номера версии эталонной таблицы CREX описаны в общей кодовой таблице С-0.",PDF
41,"Значение высоты свежевыпавшего снега (0 13 118), установленное на –0,001 до масштабирования (–1 после него или в коде CREX), должно указывать незначительную высоту снега (менее 0,0005 м). Значение высоты свежевыпавшего снега (0 13 118), установленное на –0,002 до масштабирования (–2 после масштабирования или в коде CREX), должно указывать, что «снежный покров не сплошной».",PDF
42,"Для кодирования этого элемента необходимо использовать 0 01 020 вместо 0 01 004.",PDF
43,"Для кодирования этого элемента необходимо использовать дескриптор 0 01 027 вместо 0 01 026.",PDF
44,"Для кодирования центра-поставщика/производителя необходимо использовать дескриптор 0 01 033 вместо дескриптора 0 01 031. Кодовая таблица 0 01 034 должна быть определена ассоциированным центром-поставщиком/производителем, указанным дескриптором 0 01 033 и сообщена Секретариату для публикации.",PDF
45,"Дескриптор 0 01 082 должен использоваться для сообщения последовательного номера текущего периода передачи сводок радиозонда (например, синоптический цикл) в течение данного года или другого аналогичного определяемого на месте периода времени. Дескриптор 0 01 083 должен использоваться в случае многочисленных последовательных запусков радиозондов в течение единого периода отправления сводок (например, синоптический цикл), с тем чтобы указывать, какой конкретный запуск дал соответствующие значения данных.",PDF
46,"Для указания отдельного спутникового прибора вместо дескриптора 0 02 152 следует использовать дескриптор 0 02 019.",PDF
48,"Дескриптор 0 04 041 был заменен комбинацией 0 08 025 и 0 26 003, и его не следует использовать для кодирования этого элемента.",PDF
49,"Дескриптор 0 08 025 следует использовать вместе с дескриптором 0 26 003 (разница во времени).",PDF
50,"Дескриптор 0 08 033 следует использовать перед элементом 0 33 007 как часть информации о контроле качества в целях определения метода, использованного для вычисления процента достоверности.",PDF
51,"Дескриптор 0 08 090 следует использовать для установления десятичного масштаба одного или более последующих численных дескрипторов элементов, требующих большого динамического диапазона величин. Численный дескриптор(ы) элемента будет содержать масштабированную величину измерения(ий) с необходимым количеством значимых цифр. Фактическая величина будет получена на уровне применения посредством умножения масштабированной величины на заданный десятичный масштаб: (масштабированная величина x 10десятичный масштаб).",PDF
52,"Для кодирования излучения вместо дескриптора 0 12 072 следует использовать дескриптор 0 12 076.",PDF
53,"Для кодирования испарения/суммарного испарения вместо дескриптора 0 13 032 следует использовать дескриптор 0 13 033.",PDF
54,"Дескриптор 0 22 004: указанное в этой позиции направление является направлением, в котором движется течение.",PDF
55,"Дескриптор 0 22 040 следует использовать вместо 0 22 039 для кодирования метеорологической составляющей высоты прилива (нагон или сгон).",PDF
56,"Дескриптор 0 25 009 исключен. Вместо него следует использовать дескриптор 0 25 029.",PDF
57,"Дескриптор 0 25 143 предназначен для использования численных безразмерных величин в качестве коэффициентов в статистической или линейной обработке. Каждый случай применения 0 25 143 необходимо охарактеризовать с использованием такого соответствующего определителя значимости, как 0 08 026.",PDF
58,"Дескриптор 0 26 003 следует использовать вместе с 0 08 025 (определитель разницы во времени).",PDF
