noteID,note_es,translated_by
1,0 15 003 es la presión parcial de ozono medida al nivel de presión identificado mediante 0 07 004.,Original
2,"0 15 004 (CF) se define como: CF = TOI/TOS donde TOI es el valor de ozono integrado obtenido “simultáneamente a un sondeo” mediante un espectrofotómetro Dobson o Brewer en el emplazamiento o “en sus proximidades”, y TOS es el ozono total obtenido del sondeo. TOS es la suma del ozono integrado por debajo del nivel de presión más bajo alcanzado por el sondeo más la estimación de la citada cantidad. En ausencia de mediciones de espectrofotómetro, CF = Valor faltante.",Original
3,"0 15 005 es el valor obtenido como resultado de la integración vertical de los valores de sondeo (0 15 003) medidos por debajo del nivel de presión más bajo alcanzado por la sonda, y multiplicado por 0 15 004.",Original
4,"El descriptor 0 15 038 indica el retraso de una onda electromagnética en una atmósfera neutra en comparación con una propagación sin perturbaciones en el vacío. El retraso debido a gases ionizados en la ionosfera no está cubierto, por lo que hay una “atmósfera neutra”. El retraso en metros es el retraso temporal multiplicado por la velocidad de la luz en el vacío.",Original
5,"El descriptor 0 15 079 indica el retraso del trayecto hipotético con el transmisor, es decir, el satélite GNSS, en el cénit del recibidor.",Original
6,El descriptor 0 15 081 indica la contribución del vapor de agua atmosférico al retraso del trayecto.,Original
7,El descriptor 0 15 083 indica el gradiente (este-oeste o norte-sur) de la atmósfera neutra estimado por el procesamiento del GNSS.,Original
8,El descriptor 0 15 085 indica el exceso de retraso debido a los efectos multitrayecto que es necesario eliminar del retraso de trayecto estimado.,Original
9,"El descriptor 0 20 121 utilizado junto con el descriptor 0 25 035, o todo cero en caso de no estar definido. Normalmente, +1 000 V.",Original
10,"El descriptor 0 20 122 utilizado junto con el descriptor 0 25 035, o todo cero en caso de no estar definido. Normalmente, +2 000 A.",Original
11,"El descriptor 0 21 189 es similar al descriptor 0 21 177, pero con un valor de referencia negativo.",Original
12,"El descriptor 0 22 179 es similar al descriptor 0 22 190, pero con un valor de referencia negativo. I.2 – BUFR/CREX Tabla B/22 – 11",Original
13,"El descriptor 0 22 186 se introduce para expresar la dirección de “las olas”, en comparación con la dirección de las “olas dominantes” (0 22 076), la “dirección media” (0 22 086), y la “dirección principal” (0 22 087).",Original
14,"El descriptor 0 22 187 se introduce para expresar la dispersión direccional de “las olas”, en comparación con la dispersión direccional de la “ola dominante” (0 22 077).",Original
15,0 25 014 gama nominal de entrada 0–2300.,Original
16,El descriptor 0 15 082 indica la cantidad de vapor de agua atmosférico integrado en el trayecto de la señal.,Original
17,El descriptor 0 15 084 indica la contribución no modelada al retraso del trayecto estimado por el ajuste de los mínimos cuadrados de los retrasos de los trayectos en el GNSS.,Original
18,El descriptor 0 15 089 indica la contribución de la atmósfera (casi) seca al trayecto cenital según lo expresa la ecuación hidrostática.,Original
19,El descriptor 0 15 090 indica el retraso del trayecto cenital debido a la atmosfera hidrostática neutra mapeado en el trayecto de la señal.,Original
20,Un valor 113 de nubosidad (total) indicará “Cielo oscurecido por la niebla y/u otros fenómenos meteorológicos”.,Original
21,"Si un centro de producción desea indicar una referencia a la aplicación que genera información de calidad, etc., puede utilizar con tal fin el descriptor 0 01 032, pero las tablas de cifrado correspondientes varían de un centro a otro.",Original
22,Una función de mapeo es una proyección empírica del retraso cenital en el retraso del trayecto. Retraso del trayecto = función de mapeo * retraso cenital. Es un número real adimensional superior o igual a uno. Se utilizan distintas funciones de mapeo para las contribuciones secas e hidrostáticas al retraso y para los gradientes del GNSS. I.2 – BUFR/CREX Tabla B/15 – 6,Original
