noteID,note_ru,translated_by
1,"Выражение «плохая погода» обозначает условия, которые обычно наблюдаются во время выпадения осадков, и в короткий промежуток времени до и после выпадения осадков.",Original
2,"«Ясно» или «сплошная облачность» кодируются соответственно цифрами 0 и 8.",Original
3,"«Ансамблевое среднее» означает, что ряд отдельных величин, соответствующих набору местоположений во времени, усреднен.",Original
4,"«Усредненное по времени» означает, что величины постоянно усредняются по периоду времени.",Original
5,(0 = хорошее; 1 = плохое),Original
6,(См. общую кодовую таблицу С-1 в части С/с.),Original
7,(См. общую кодовую таблицу С-2 в части С/с.),Original
8,(См. общую кодовую таблицу С-3),Original
9,(См. общую кодовую таблицу С-4),Original
10,(См. общую кодовую таблицу С-5 в части С/с.),Original
11,(См. общую кодовую таблицу С-7 в части С/с.),Original
12,(См. общую кодовую таблицу С-8 в части С/с.),Original
14,"(Будет определено самими центрами — см. общую кодовую таблицу С-12 в части С/с.)",Original
15,(Будут разработаны),Original
16,"Последовательность двух или более пар координат местоположения, таких как широта и долгота, определяет линию или многоугольник. Точки следует соединять в соответствии с порядком, данным в сообщении. Любая описываемая зона будет расположена слева от проведенной границы в направлении, установленном порядком, данным в сообщении. Это определение применяется к простым непересекающимся многоугольникам, без пробелов.",Original
17,"Если все биты установлены на 0, это означает, что калибровка правильная.",Original
18,"Все статистические данные первого порядка выражены в единицах измерения, определенных первоначальными дескрипторами данных.",Original
19,"Значимость ассоциированного поля должна использоваться на первоначальном этапе совместно с качеством данных наблюдений.",Original
20,"Плохое качество определяется в настоящее время как угол крена > 5 градусов по отношению к вертикали.",Original
21,"Начиная с позиции первого бита (бит старшего разряда), при приведении бита к цифре 1 канал используется. Если бит приводится к нулю, канал не используется.",Original
23,"Битовые флаги показывают прибор и/или каналы, используемые при получении различных физических параметров. Если в какой-либо группе параметров все биты = 0, то для этого параметра или группы параметров не производилась обработка.",Original
24,"Биты 1-4 представляют код погрешности времени. В том случае, когда все биты установлены на 0, это означает, что время сканирования соответствует предсказанному времени.",Original
25,"Биты 11-17 представляют код погрешности географического местоположения. В том случае, когда все биты установлены на 0, это означает, что географическое местоположение является нормальным.",Original
26,"Биты 2-21 использованы для HIRS, но только биты 2-16 использованы для AMSU-А и биты 2-6 для AMSU-В.",Original
27,"Биты 5-10 представляют код погрешности калибровки. В том случае, когда все биты установлены на 0, это означает, что калибровка нормальная. В том случае, когда тот или иной из битов 5, 7 и 10 установлен на 1, это означает, что были использованы вторичные коэффициенты калибровки.",Original
28,"Траектория над поверхностью, не закрытой облаками, означает, что данные зондирования получены по излучению ясного неба с вычислениями по фактическим измерениям при ясном небе. Использовались тропосферные и стратосферные данные HIRS, а также MSU и SSU.",Original
29,"Зондирование при ясном небе указывает, что зондирование осуществлялось в совокупности величин излучения ясного неба с использованием всех имеющихся величин излучения зонда.",Original
30,"Траектория над закрытой облаками поверхностью означает, что данные зондирования были получены только из стратосферных данных HIRS, MSU и SSU. Тропосферные данные HIRS не были использованы из-за облачных условий.",Original
31,"Зондирование при облачности указывает, что в зоне зондирования невозможно было идентифицировать необходимые значения излучения ясного неба. Зондирование рассчитывается с верхней границы облачности (давление облаков больше или равно 780 гПа) и далее.",Original
32,"Кодовые цифры 1-9: Продолжительность и время измерения течения (векторный или доплеровский метод получения профиля течения).",Original
33,"Кодовые цифры 11-19: Период измерения течения (дрейфовый метод).",Original
34,"Средняя часть данной кодовой таблицы (кодовые цифры 100-199) включает термины на нескольких уровнях, которые могут быть использованы для простых и более сложных автоматических станций.",Original
35,"Дескриптор 0 25 009 исключен. Вместо него следует использовать дескриптор 0 25 029.",Original
36,"Данные о разностях — это значения разности, размеры которых аналогичны размерам соответствующих сообщаемых значений в отношении единиц измерения, но пределы которых установлены на нуль (например: разность между сообщенными и анализированными значениями, разность между сообщенными и прогнозированными значениями и т. д.).",Original
39,"EPSG представляет собой набор данных по системам координат и ее преобразованиям, который изначально был создан и поддерживался Европейской группой нефтепоисковых исследований. В настоящее время он поддерживается подкомитетом по геодезии Комитета по геоматике Международной ассоциации производителей нефти и газа.",Original
40,"Для использования кодовой цифры 15 см. правило 12.1.4.",Original
41,"Уровень замерзания является уровнем, когда температура впервые снижается до 0 °С. Критерии выбора уровня замерзания при аэрологических наблюдениях следующие: a) если при запуске радиозонда приземная температура не ниже 0 °С, то самый низкий уровень, на котором температура впервые опускается до 0 °С, принимается за уровень замерзания; b) если приземная температура равняется 0 °С, то за уровень замерзания принимается приземный уровень; c) если при наблюдении не имеется уровня, на котором температура составляет ровно 0 °С, необходимо использовать два ближайших уровня, когда температура переходит от положительной к отрицательной, для интерполяции уровня замерзания, при котором температура равняется 0 °С; d) для уровня замерзания рассчитываются следующие элементы: время, высота, давление, влажность, температура точки росы, депрессия точки росы и отклонение долготы и широты.",Original
42,"Могут быть разработаны дополнительные применения.",Original
43,"Общие термины обозначения погоды (например: туман, морось) предназначены для использования на автоматических станциях, которые могут определить тип погоды, но не дают никакой другой информации. Общие термины обозначаются в кодовой таблице большими буквами.",Original
45,"H = Время наблюдения.",Original
47,"HIRS* эквивалентен: каналам HIRS 1 (669 см-1) 2 (679 см-1) 3 (690 см-1) 4 (2 358 см-1)",Original
49,"Если бит установлен на 1, указание действительно.",Original
50,"Определения в кодовых цифрах 0-2 и 4 применяются для обнаженной репрезентативной поверхности почвы, а цифры 3, 5-9 и 10-19 — к открытому репрезентативному району.",Original
51,"В связи с наблюдением водяных смерчей или воронкообразных облаков — в радиусе 3 км от станции.",Original
52,"В сводках с автоматических станций следует использовать кодовую цифру 2, когда тенденция является положительной; 7 — отрицательной и 4, когда давление является таким же, как и 3 часа назад.",Original
53,"В сводках от тропических станций, сообщающих суточные изменения, следует использовать кодовую цифру 2 при положительной тенденции; 7 — при отрицательной тенденции и 4 — в случае, если давление остается таким же, как и за предшествующие 24 часа.",Original
54,"В данной кодовой таблице всякий раз, когда упоминается лед, это также включает в себя другие твердые осадки, отличные от снега.",Original
55,"В тех случаях, когда облака не видны из-за сильного дождя, наблюдателю следует использовать код 5 или 8. Код 5 следует использовать, если выпадает дождь локального характера или кратковременный, а код 8 — если дождь занимает обширное пространство или выпадает в течение более продолжительных периодов.",Original
56,"Внутренние воды включают реки, озера, заболоченные земли.",Original
57,"Смешанные осадки обозначаются путем установки на единицу битов всех наблюдаемых самостоятельных типов осадков.",Original
59,"Новые локальные названия шторма различной интенсивности следует добавлять в соответствии с необходимостью.",Original
60,"Ни одна из кодовых цифр не исключает добавления интерполированных уровней по усмотрению центра-поставщика",Original
62,"Траектория над частично закрытой облаками поверхностью означает, что данные зондирования были получены из излучения ясного неба, которое вычислялось по отдельным районам, частично закрытым облаками. Использовались тропосферные и стратосферные данные HIRS, а также MSU и SSU.",Original
63,"Явление, указанное в данной таблице флагов, означает любое явление, включая осадки и явления, ухудшающие видимость.",Original
74,"Кодовая цифра 21 может быть использована внутри скорректированных сообщений с указанными скорректированными/замененными величинами.",Original
75,"Определения в кодовых цифрах 0-2 и 4 применяются для обнаженной репрезентативной поверхности почвы, а цифры 3, 5-9 и 10-19 — к открытому репрезентативному району.",Original
76,"Эти величины относятся к хорошо сформированному ветровому волнению в открытом море. В то время как предпочтение следует отдавать описательным терминам, значения этих высот могут использоваться наблюдателем как руководство при передаче состояния поверхности моря, которое возникает в результате различных факторов, таких, как ветер, зыбь, течения, угол между направлением ветра и зыби и т. д.",Original
77,"В связи с наблюдением водяных смерчей или воронкообразных облаков — в радиусе 3 км от станции.",Original
78,"Первые три цифры представляют собой код страны ИСО.",Original
79,"Последняя колонка в таблице содержит соответствующий номер регистрации Химической реферативной службы (CAS) Американского химического общества.",Original
80,"Средняя часть данной кодовой таблицы (кодовые цифры 100-199) включает термины на нескольких уровнях, которые могут быть использованы для простых и более сложных автоматических станций.",Original
81,"Номинальный диапазон влажности поверхности почвы — от 0 % до 100 %. В крайних случаях экстраполированное обратное рассеяние при угле наклона в 40 градусов может превышать исходный показатель для влажного обратного рассеяния. В этих случаях значение, полученное в результате процесса измерения влажности поверхности почвы, будет менее 0 % или более 100 %, соответственно.",Original
82,"Описание погоды кодовыми цифрами 10-19 имеет возрастающую сложность, с тем чтобы оно могло быть приспособлено к разным уровням разрешающей способности различных автоматических станций. Для станций, имеющих основные измерительные возможности, могут быть использованы более низкие кодовые цифры и основные общие термины (указанные заглавными буквами). Для станций, которые имеют последовательно более высокую разрешающую способность, должны использоваться более детальные описания (более высокие значения кодов).",Original
84,"Эти величины относятся к хорошо сформированному ветровому волнению в открытом море. В то время как предпочтение следует отдавать описательным терминам, значения этих высот могут использоваться наблюдателем как руководство при передаче состояния поверхности моря, которое возникает в результате различных факторов, таких, как ветер, зыбь, течения, угол между направлением ветра и зыби и т. д.",Original
85,"Данный дескриптор будет связан с данными по видимости или высоте облаков для указания того, что значение является граничным. Если передаваемое значение является истинным, то кодовая цифра равна нулю. Однако измерение может попасть в предел измерительной способности прибора. Если передаваемое значение больше, чем истинное значение, то кодовая цифра будет равна 1, если передаваемое значение меньше истинного значения, то кодовая цифра будет равна 2.",Original
88,"Значимость времени должна быть квалифицирована соответствующими периодами времени, которые следует указывать.",Original
89,"В связи с наблюдением водяных смерчей или воронкообразных облаков — на удалении более 3 км от станции.",Original
