noteID,note_fr,translation_source
D2,Le modèle 3 07 082 est caduc.,PDF
D3,La séquence 3 10 027 est caduque.,PDF
D4,"D’autres descripteurs sont requis pour réduire la charge de travail relative à la base de données de la station, par exemple pour l’identification de l’État fédéral et de l’axe routier.",PDF
D5,"Telle qu’elle est fournie par le centre secondaire ARINC d’origine, cette valeur est une pseudovaleur plutôt qu’une valeur réelle. Seule ARINC connaît le rapport entre cette pseudo-valeur et la valeur réelle.",PDF
D6,Valeurs des tables de code: FRQ = chiffre de code 8 (8 octas) OCNL EMBD = chiffre de code 6 (6 octas) ISOL = chiffre de code 2 (2 octas) lorsqu’il s’agit d’un cumulonimbus (Cb),PDF
D7,"Des messages BUFR composés peuvent être décrits à l’intérieur de la Section de description des don- nées, le cas échéant (par exemple 3 01 041, 3 04 001, 3 04 002, 3 04 003, 3 04 004, 3 04 005, 3 04 006).",PDF
D8,Les données représentées par cette séquence devraient être triées par ordre descendant par rapport à la pression.,PDF
D9,La date et l’heure du lâcher indiquent la date et l’heure du début des mesures à la descente.,PDF
D10,"Le décibel (dB) est une mesure logarithmique de la puissance relative ou des valeurs relatives de deux densités de flux, en particulier d’intensités sonores et de densités de puissance radio et radar. En météorologie radar, l’échelle logarithmique (dBZ) est utilisée pour mesurer la réflectivité radar (d’après le glossaire de météorologie de l’ American Meteorological Society ).",PDF
D11,Ne pas utiliser le descripteur 3 01 002.,PDF
D12,Utiliser le descripteur 3 01 055 au lieu du 3 01 035 pour le codage des informations fournies pas les bouées/plates-formes mobiles.,PDF
D13,"Ce facteur de répétition a pour valeur 1 lorsque la description porte sur un cercle ou un point et 2 lorsqu’elle porte sur une ligne. Dans le cas d’un polygone, la description se fait à l’aide d’une série d’au moins trois points contigus conformément à la note de la table de code 0 08 007.",PDF
D15,Les descripteurs 3 03 021 à 3 03 027 ne sont pas disponibles dans le CREX.,PDF
D16,Chaque message BUFR peut contenir des données pour un certain nombre de positions; la technique de compression des messages BUFR n’implique que des ajouts négligeables pour des éléments de données constants.,PDF
D17,"À chacune de leurs positions, les capteurs routiers mesurent: – La température à la surface de la route; – La température sous la surface de la route; – L’épaisseur de la pellicule d’eau; – L’état du revêtement.",PDF
D20,"En atmosphère claire ou dans les nuages: coder MOD OCNL SEV par le chiffre 12 ou 13, respectivement.",PDF
D21,"Le sens de déplacement du front doit toujours être indiqué car cette information est utilisée pour le pointage des cartes. Si la vitesse de déplacement du front est de 0, cela dénote un front à déplacement lent. Il existe une valeur dans la table de code pour représenter un front quasi stationnaire.",PDF
