noteID,note_ru,translation_source
1,"Последовательность 3 04 035 применять не следует.",PDF
2,"Последовательность 3 07 082 исключена.",PDF
3,"Последовательность 3 10 027 исключена.",PDF
4,"Требуются дополнительные дескрипторы, чтобы снизить загруженность, связанную с базой данных станции, например для идентификации федеративного государства и идентификации автомагистрали.",PDF
5,"Эта величина является скорее псевдовеличиной, чем реальной величиной, поскольку она сообщается подцентром-поставщиком ARINC. Только ARINC известно отношение между этой псевдовеличиной и реальной величиной.",PDF
6,"Величина кодовой таблицы: FRQ = кодовая цифра 8 (8 окт); OCNL EMBD = кодовая цифра 6 (6 окт); ISOL = кодовая цифра 2 (2 окты), когда облачность = Cb.",PDF
7,"Сложные сообщения BUFR могут быть описаны в рамках разделов описания данных, если это требуется (например: 3 01 041, 3 04 001, 3 04 002, 3 04 003, 3 04 004, 3 04 005, 3 04 006).",PDF
8,"Представленные этой последовательностью данные должны быть рассортированы в нисходящем порядке на основе давления.",PDF
9,"Дата/время запуска указывают дату/время начала измерения при спуске.",PDF
10,"Децибел (дБ) — это логарифмическая мера относительной степени или относительных значений плотности двух потоков, в частности интенсивности звука и мощности радио- и радиолокационных сигналов. В радиолокационной метеорологии логарифмическая шкала (dBZ) используется для измерения радиолокационной отражаемости. (Приводится из Глоссария метеорологических терминов Американского метеорологического общества).",PDF
11,"Дескриптер 3 01 002 не следует использовать.",PDF
12,"Для кодирования информации, сообщаемой подвижными буями/платформами, вместо дескриптора 3 01 035 следует использовать дескриптор 3 01 055.",PDF
13,"Для кодирования информации, сообщаемой подвижными буями/платформами, вместо дескриптора 3 08 003 следует использовать дескриптор 3 08 007.",PDF
14,"Следует использовать дескриптор 3 40 010 вместо дескриптора 3 40 005.",PDF
15,"В коде CREX не имеется дескриптеров 3 03 021 — 3 03 027.",PDF
16,"Каждое сообщение BUFR может содержать данные для ряда местоположений; методика сжатия данных в коде BUFR использует незначительные по величине заголовки для групп данных, которые являются инвариантными.",PDF
17,"По каждому местоположению дорожных датчиков производятся измерения: температуры поверхности дорожного покрытия; подповерхностных температур дорожного покрытия; толщины водяной пленки; состояния поверхности дорожного покрытия.",PDF
20,"Код MOD OCNL SEV посредством цифры 12 (экстремальное значение при ясном небе) или 13 (экстремальное значение при облачности)",PDF
21,"Направление перемещения фронта всегда следует указывать, поскольку эти данные необходимы для нанесения на карту. Если скорость перемещения фронта равна нулю, это означает медленное перемещение фронта. Величина в таблице кодов существует для представления квазистационарного фронта.",PDF
22,"Полные направленные спектры (Ib = 1 в WAVEOB с более чем одним направлением на каждое волновое число полосы). Количество повторений — это число направлений на каждое волновое число полосы, которые должны, как правило, охватить весь спектр.",PDF
23,"Вместе с тем, по требованию судоходных компаний при фрахтовании судов, добровольно проводящих наблюдения (СДН), или по последующему запросу для судовых сводок с использованием образца 3 08 014 позывной сигнал судна или другой идентификатор могут кодироваться в сводках BUFR с помощью последовательности 3 01 018 в соответствии со следующим методом: стандартный позывной (т. е. дескриптор 0 01 011) кодируется с отсутствующим значением; метод шифрования указывается с помощью метода, обозначенного в дескрипторе 0 25 185; версия используемого ключа шифрования указывается посредством дескриптора 0 25 186.",PDF
