acronym_es,meaning_es,translation_source
AOS,altura de ola significativa,PDF
ASAR,radar de apertura sintética avanzado,PDF
DORIS,orbitografía y radiolocalización doppler integrada por satélite,PDF
DSR,Registro de conjuntos de datos,PDF
DU,unidad Dobson,PDF
EDR,tasa de disipación de turbulencia,PDF
GHRSST,mediciones de alta resolución de la temperatura de la superficie del mar del GODAE,PDF
GNSS,Sistema Mundial de Navegación por Satélite,PDF
GRUAN,Red de referencia de observación en altitud del SMOC,PDF
GTSPP,Programa Mundial sobre el Perfil de la Temperatura y la Salinidad,PDF
IFOV,campo visual instantáneo,PDF
ISS,irradiancia solar en superficie,PDF
LRM,modo de baja resolución,PDF
MMCC,Centro de gestión y control de la misión,PDF
PRF,Frecuencia de repetición de los impulsos,PDF
PRT,temperatura de resistencia de platino,PDF
PWLR,regresión segmentada lineal cúbica,PDF
RF,radio frecuencia,PDF
RMJ,radiómetro en microondas JASON-1,PDF
SAR,radar de apertura sintética,PDF
