ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/25/001,25,Обработка информации в BUFR/CREX,025001,Длительность строб-импульса,m,-1,0,6,m,-1,2,,,Operational,PDF
bufr4/0/25/002,25,Обработка информации в BUFR/CREX,025002,Среднее количество строб-импульсов,Числовой,0,0,4,Числовой,0,2,,,Operational,PDF
bufr4/0/25/003,25,Обработка информации в BUFR/CREX,025003,Количество интегрированных импульсов,Числовой,0,0,8,Числовой,0,3,,,Operational,PDF
bufr4/0/25/004,25,Обработка информации в BUFR/CREX,025004,Обработка отраженного сигнала,Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/25/005,25,Обработка информации в BUFR/CREX,025005,Интегрирование отраженного сигнала,Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/25/006,25,Обработка информации в BUFR/CREX,025006,Конверсия Z в R,Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/25/007,25,Обработка информации в BUFR/CREX,025007,Фактор конверсии Z в R,Числовой,0,0,12,Числовой,0,4,,,Operational,PDF
bufr4/0/25/008,25,Обработка информации в BUFR/CREX,025008,Экспонента конверсии Z в R,Числовой,2,0,9,Числовой,2,3,,,Operational,PDF
bufr4/0/25/009,25,Обработка информации в BUFR/CREX,025009,Метод калибровки,Таблица флагов,0,0,4,Таблица флагов,0,2,(см. примечание 3),56,Operational,PDF
bufr4/0/25/010,25,Обработка информации в BUFR/CREX,025010,Подавление мешающих отражений,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/25/011,25,Обработка информации в BUFR/CREX,025011,Коррекция помех от земной поверхности (защита),Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/25/012,25,Обработка информации в BUFR/CREX,025012,Коррекция затухания с увеличением дальности,Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/25/013,25,Обработка информации в BUFR/CREX,025013,Коррекция яркой полосы,Таблица флагов,0,0,2,Таблица флагов,0,1,,,Operational,PDF
bufr4/0/25/014,25,Обработка информации в BUFR/CREX,025014,Отсечение за счет пассивных помех по азимуту,Числовой,0,0,12,Числовой,0,4,(см. примечание 1),15,Operational,PDF
bufr4/0/25/015,25,Обработка информации в BUFR/CREX,025015,Коррекция затухания на обтекателе,Таблица флагов,0,0,2,Таблица флагов,0,1,,,Operational,PDF
