ID,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status,translation_source
bufr4/0/21/066/1,021066,Данные о достоверности продукции волнового рефлектометра,1,Обрабатывающие приборы не работают,,,,,Operational,PDF
bufr4/0/21/066/2,021066,Данные о достоверности продукции волнового рефлектометра,2,Неисправность приборов,,,,,Operational,PDF
bufr4/0/21/066/3,021066,Данные о достоверности продукции волнового рефлектометра,3,Код частоты повторения импульсов (ЧПИ) изменен во время формирования изображения,,,,,Operational,PDF
bufr4/0/21/066/4,021066,Данные о достоверности продукции волнового рефлектометра,4,Окно выборки изменено во время формирования изображения,,,,,Operational,PDF
bufr4/0/21/066/5,021066,Данные о достоверности продукции волнового рефлектометра,5,Gain изменен во время формирования изображения,,,,,Operational,PDF
bufr4/0/21/066/6,021066,Данные о достоверности продукции волнового рефлектометра,6,Опорный сигнал Chirp превосходит установленную величину,,,,,Operational,PDF
bufr4/0/21/066/7,021066,Данные о достоверности продукции волнового рефлектометра,7,"Срединное отклонение и стандартное отклонение вводимых данных, совпадающих по фазе и с отклонением в 90°, вне диапазона",,,,,Operational,PDF
bufr4/0/21/066/8,021066,Данные о достоверности продукции волнового рефлектометра,8,Достоверность центроида Доплера > величины MMCC,,,,,Operational,PDF
bufr4/0/21/066/9,021066,Данные о достоверности продукции волнового рефлектометра,9,Абсолютная величина центроида Доплера > ЧПИ/2,,,,,Operational,PDF
bufr4/0/21/066/10,021066,Данные о достоверности продукции волнового рефлектометра,10,Достоверность неопределенности Доплера < величины MMCC,,,,,Operational,PDF
bufr4/0/21/066/11,021066,Данные о достоверности продукции волнового рефлектометра,11,Срединное отклонение и стандартное отклонение выходных данных ≤ величины MMCC,,,,,Operational,PDF
bufr4/0/21/066/All-12,021066,Данные о достоверности продукции волнового рефлектометра,Все 12,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/21/067/1,021067,Данные о достоверности продукции ветра,1,Расчет до луча отсутствует,,,,,Operational,PDF
bufr4/0/21/067/2,021067,Данные о достоверности продукции ветра,2,Расчет в середине луча отсутствует,,,,,Operational,PDF
bufr4/0/21/067/3,021067,Данные о достоверности продукции ветра,3,Расчет после луча отсутствует,,,,,Operational,PDF
bufr4/0/21/067/4,021067,Данные о достоверности продукции ветра,4,Обнаружено отклонение до луча,,,,,Operational,PDF
bufr4/0/21/067/5,021067,Данные о достоверности продукции ветра,5,Обнаружено отклонение в середине луча,,,,,Operational,PDF
bufr4/0/21/067/6,021067,Данные о достоверности продукции ветра,6,Обнаружено отклонение после луча,,,,,Operational,PDF
bufr4/0/21/067/7,021067,Данные о достоверности продукции ветра,7,Любое содержание шумов луча больше или равно пороговому значению,,,,,Operational,PDF
bufr4/0/21/067/8,021067,Данные о достоверности продукции ветра,8,"Поверхность земли (любой участок суши, находящийся в подспутниковой ячейке)",,,,,Operational,PDF
bufr4/0/21/067/9,021067,Данные о достоверности продукции ветра,9,Удаление неиспользованной автономной неопределенности,,,,,Operational,PDF
bufr4/0/21/067/10,021067,Данные о достоверности продукции ветра,10,Метеорологическая справочная информация не использована,,,,,Operational,PDF
bufr4/0/21/067/11,021067,Данные о достоверности продукции ветра,11,Минимальный остаток превышает пороговое значение,,,,,Operational,PDF
bufr4/0/21/067/12,021067,Данные о достоверности продукции ветра,12,Обнаружена ошибка контроля кадра,,,,,Operational,PDF
bufr4/0/21/067/All-13,021067,Данные о достоверности продукции ветра,Все 13,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/21/068/1,021068,Данные о достоверности продукции радиолокационного альтиметра,1,Стандартное отклонение скорости ветра за предел ММСС,,,,,Operational,PDF
bufr4/0/21/068/2,021068,Данные о достоверности продукции радиолокационного альтиметра,2,Стандартное отклонение высоты значительной волны за предел ММСС,,,,,Operational,PDF
bufr4/0/21/068/3,021068,Данные о достоверности продукции радиолокационного альтиметра,3,Стандартное отклонение высоты за предел ММСС,,,,,Operational,PDF
bufr4/0/21/068/4,021068,Данные о достоверности продукции радиолокационного альтиметра,4,Максимальные величины (среднее значение) за пределами ММСС,,,,,Operational,PDF
bufr4/0/21/068/5,021068,Данные о достоверности продукции радиолокационного альтиметра,5,Обнаруженная ошибка проверки кадра,,,,,Operational,PDF
bufr4/0/21/068/6,021068,Данные о достоверности продукции радиолокационного альтиметра,6,Неосуществленная поправка константы времени кривой высоты времени,,,,,Operational,PDF
bufr4/0/21/068/7,021068,Данные о достоверности продукции радиолокационного альтиметра,7,Недостаточное количество измерений (N < 10),,,,,Operational,PDF
bufr4/0/21/068/All-8,021068,Данные о достоверности продукции радиолокационного альтиметра,Все 8,Отсутствующее значение,,,,,Operational,PDF
bufr4/0/21/069/1,021069,Данные о достоверности продукции ТПМ,1,"Канал 12,0 мкм имеется в исходных данных",,,,,Operational,PDF
bufr4/0/21/069/2,021069,Данные о достоверности продукции ТПМ,2,"Канал 11,0 мкм имеется в исходных данных",,,,,Operational,PDF
bufr4/0/21/069/3,021069,Данные о достоверности продукции ТПМ,3,"Канал 3,7 мкм имеется в исходных данных",,,,,Operational,PDF
bufr4/0/21/069/4,021069,Данные о достоверности продукции ТПМ,4,"Канал 1,6 мкм имеется в исходных данных",,,,,Operational,PDF
