ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source
bufr4/3/04/001/1/008003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304001,"(Давление на верхней границе облачности, температура и ветер)",,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational,PDF
bufr4/3/04/001/2/010004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304001,"(Давление на верхней границе облачности, температура и ветер)",,010004,Давление,,,,Operational,PDF
bufr4/3/04/001/3/012001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304001,"(Давление на верхней границе облачности, температура и ветер)",,012001,Температура/температура воздуха,,,,Operational,PDF
bufr4/3/04/001/4/011001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304001,"(Давление на верхней границе облачности, температура и ветер)",,011001,Направление ветра,,,,Operational,PDF
bufr4/3/04/001/5/011002,04,"Категория 04 — Метеорологические последовательности, общепринятые",304001,"(Давление на верхней границе облачности, температура и ветер)",,011002,Скорость ветра,,,,Operational,PDF
bufr4/3/04/002/1/008003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304002,"(Давление на верхней границе облачности, ветер)",,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational,PDF
bufr4/3/04/002/2/010004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304002,"(Давление на верхней границе облачности, ветер)",,010004,Давление,,,,Operational,PDF
bufr4/3/04/002/3/011001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304002,"(Давление на верхней границе облачности, ветер)",,011001,Направление ветра,,,,Operational,PDF
bufr4/3/04/002/4/011002,04,"Категория 04 — Метеорологические последовательности, общепринятые",304002,"(Давление на верхней границе облачности, ветер)",,011002,Скорость ветра,,,,Operational,PDF
bufr4/3/04/003/1/008003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304003,(Приземная температура),,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational,PDF
bufr4/3/04/003/2/012001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304003,(Приземная температура),,012001,Температура/температура воздуха,,,,Operational,PDF
bufr4/3/04/004/1/008003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304004,"(Давление на верхней границе облаков, облачный покров, температура)",,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational,PDF
bufr4/3/04/004/2/010004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304004,"(Давление на верхней границе облаков, облачный покров, температура)",,010004,Давление,,,,Operational,PDF
bufr4/3/04/004/3/020010,04,"Категория 04 — Метеорологические последовательности, общепринятые",304004,"(Давление на верхней границе облаков, облачный покров, температура)",,020010,Облачность (общая),,,,Operational,PDF
bufr4/3/04/004/4/012001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304004,"(Давление на верхней границе облаков, облачный покров, температура)",,012001,Температура/температура воздуха,,,,Operational,PDF
bufr4/3/04/005/1/002024,04,"Категория 04 — Метеорологические последовательности, общепринятые",304005,(Средняя относительная влажность по слою),,002024,Метод вычисления средней влажности по слою,,,,Operational,PDF
bufr4/3/04/005/2/007004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304005,(Средняя относительная влажность по слою),,007004,Давление,Определяет слой,,,Operational,PDF
bufr4/3/04/005/3/007004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304005,(Средняя относительная влажность по слою),,007004,Давление,,,,Operational,PDF
bufr4/3/04/005/4/013003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304005,(Средняя относительная влажность по слою),,013003,Относительная влажность,,,,Operational,PDF
bufr4/3/04/006/1/014001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304006,(Радиация),,014001,"Длинноволновая радиация, интегрированная за 24 часа",Восходящая длинноволновая радиация,,,Operational,PDF
bufr4/3/04/006/2/014001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304006,(Радиация),,014001,"Длинноволновая радиация, интегрированная за 24 часа",Нисходящая длинноволновая радиация,,,Operational,PDF
bufr4/3/04/006/3/014003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304006,(Радиация),,014003,"Коротковолновая радиация, интегрированная за 24 часа",Восходящая коротковолновая радиация,,,Operational,PDF
bufr4/3/04/011/1/002163,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,002163,Метод определения высоты,,,,Operational,PDF
bufr4/3/04/011/2/002164,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,002164,Метод корреляции слежения,,,,Operational,PDF
bufr4/3/04/011/3/008012,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,008012,Описатель суши/моря,,,,Operational,PDF
bufr4/3/04/011/4/007024,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,007024,Зенитный угол спутника,,,,Operational,PDF
bufr4/3/04/011/5/002057,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,002057,Источник информации в нулевом приближении для зондирований с GOES-I/M,,,,Operational,PDF
bufr4/3/04/011/6/008021,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,008021,Значимость времени,,,,Operational,PDF
bufr4/3/04/011/7/004001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004001,Год,,,,Operational,PDF
bufr4/3/04/011/8/004002,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004002,Месяц,,,,Operational,PDF
bufr4/3/04/011/9/004003,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004003,День,,,,Operational,PDF
bufr4/3/04/011/10/004004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004004,Час,,,,Operational,PDF
bufr4/3/04/011/11/008021,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,008021,Значимость времени,,,,Operational,PDF
bufr4/3/04/011/12/004024,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004024,Временной период или отклонение,,,,Operational,PDF
bufr4/3/04/011/13/110004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,110004,Повторить 10 дескрипторов 4 раза,,,,Operational,PDF
bufr4/3/04/011/14/008021,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,008021,Значимость времени,,,,Operational,PDF
bufr4/3/04/011/15/004004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004004,Час,,,,Operational,PDF
bufr4/3/04/011/16/004005,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004005,Минута,,,,Operational,PDF
bufr4/3/04/011/17/004006,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004006,Секунда,,,,Operational,PDF
bufr4/3/04/011/18/008021,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,008021,Значимость времени,,,,Operational,PDF
bufr4/3/04/011/19/004004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004004,Час,,,,Operational,PDF
bufr4/3/04/011/20/004005,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004005,Минута,,,,Operational,PDF
bufr4/3/04/011/21/004006,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,004006,Секунда,,,,Operational,PDF
bufr4/3/04/011/22/011001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,011001,Направление ветра,,,,Operational,PDF
bufr4/3/04/011/23/011002,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,011002,Скорость ветра,,,,Operational,PDF
bufr4/3/04/011/24/103010,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,103010,Повторить 3 дескриптора 10 раз,,,,Operational,PDF
bufr4/3/04/011/25/002163,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,002163,Метод определения высоты,,,,Operational,PDF
bufr4/3/04/011/26/007004,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,007004,Давление,,,,Operational,PDF
bufr4/3/04/011/27/012001,04,"Категория 04 — Метеорологические последовательности, общепринятые",304011,(GOES-I/M инфо),,012001,Температура/температура воздуха,,,,Operational,PDF
bufr4/3/04/030/1/027031,04,"Категория 04 — Метеорологические последовательности, общепринятые",304030,(Местоположение платформы),,027031,В направлении 0 градусов долготы — расстояние от центра Земли,,,,Operational,PDF
