ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source,
bufr4/3/16/001/1/301011,16,Категория 16 — Последовательности синоптических характеристик,316001,,,301011,"Год, месяц, день",,,,Operational,PDF,
bufr4/3/16/001/2/004004,16,Категория 16 — Последовательности синоптических характеристик,316001,,,004004,Час,,,,Operational,PDF,
bufr4/3/16/001/3/301023,16,Категория 16 — Последовательности синоптических характеристик,316001,,,301023,Широта/долгота (низкая точность),,,,Operational,PDF,
bufr4/3/16/001/4/001021,16,Категория 16 — Последовательности синоптических характеристик,316001,,,001021,Указатель синоптической характеристики,,,,Operational,PDF,
bufr4/3/16/001/5/002041,16,Категория 16 — Последовательности синоптических характеристик,316001,,,002041,"Метод оценки сводки, касающейся синоптических характеристик",,,,Operational,PDF,
bufr4/3/16/001/6/019001,16,Категория 16 — Последовательности синоптических характеристик,316001,,,019001,Тип синоптической характеристики,,,,Operational,PDF,
bufr4/3/16/001/7/010051,16,Категория 16 — Последовательности синоптических характеристик,316001,,,010051,"Давление, приведенное к среднему уровню моря",,,,Operational,PDF,
bufr4/3/16/001/8/019002,16,Категория 16 — Последовательности синоптических характеристик,316001,,,019002,Эффективный радиус синоптической характеристики,,,,Operational,PDF,
bufr4/3/16/001/9/019003,16,Категория 16 — Последовательности синоптических характеристик,316001,,,019003,Порог скорости ветра Обычно 15 м·с,–1,,,Operational,PDF,
bufr4/3/16/001/10/019004,16,Категория 16 — Последовательности синоптических характеристик,316001,,,019004,Эффективный радиус относительно скорости ветра выше пороговой величины,,,,Operational,PDF,
bufr4/3/16/002/1/008021,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,008021,Значимость времени,Время анализа данных,,,Operational,PDF,
bufr4/3/16/002/2/004001,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004001,Год,,,,Operational,PDF,
bufr4/3/16/002/3/004002,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004002,Месяц,,,,Operational,PDF,
bufr4/3/16/002/4/004003,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004003,День,,,,Operational,PDF,
bufr4/3/16/002/5/004004,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004004,Час,,,,Operational,PDF,
bufr4/3/16/002/6/004005,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004005,Минута,,,,Operational,PDF,
bufr4/3/16/002/7/001033,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,001033,Идентификация центра-поставщика/производителя,,,,Operational,PDF,
bufr4/3/16/002/8/008021,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,008021,Значимость времени,Период действия (прогноз),,,Operational,PDF,
bufr4/3/16/002/9/004001,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004001,Год,,,,Operational,PDF,
bufr4/3/16/002/10/004002,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004002,Месяц,,,,Operational,PDF,
bufr4/3/16/002/11/004003,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004003,День,,,,Operational,PDF,
bufr4/3/16/002/12/004004,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004004,Час,,,,Operational,PDF,
bufr4/3/16/002/13/004005,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,004005,Минута,,,,Operational,PDF,
bufr4/3/16/002/14/007002,16,Категория 16 — Последовательности синоптических характеристик,316002,(Заголовок),,007002,Высота или абсолютная высота,Эшелон полета (нижняя граница слоя),,,Operational,PDF,
