ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/21/001,21,Данные радиолокатора в BUFR/CREX,021001,Горизонтальная отражательная способность,dB,0,-64,7,dB,0,3,,,Operational,PDF
bufr4/0/21/002,21,Данные радиолокатора в BUFR/CREX,021002,Вертикальная отражательная способность,dB,0,-64,7,dB,0,3,,,Operational,PDF
bufr4/0/21/003,21,Данные радиолокатора в BUFR/CREX,021003,Дифференциальная отражательная способность,dB,1,-5,7,dB,1,3,,,Operational,PDF
bufr4/0/21/004,21,Данные радиолокатора в BUFR/CREX,021004,Дифференциальная отражательная способность,dB,2,-800,11,dB,2,4,,,Operational,PDF
bufr4/0/21/005,21,Данные радиолокатора в BUFR/CREX,021005,Степень линейной деполяризации,dB,0,-65,6,dB,0,2,,,Operational,PDF
bufr4/0/21/006,21,Данные радиолокатора в BUFR/CREX,021006,Степень круговой деполяризации,dB,0,-65,6,dB,0,2,,,Operational,PDF
bufr4/0/21/011,21,Данные радиолокатора в BUFR/CREX,021011,Средняя доплеровская скорость в направлении x,m/s,0,-128,8,m/s,0,3,,,Operational,PDF
bufr4/0/21/012,21,Данные радиолокатора в BUFR/CREX,021012,Средняя доплеровская скорость в направлении y,m/s,0,-128,8,m/s,0,3,,,Operational,PDF
bufr4/0/21/013,21,Данные радиолокатора в BUFR/CREX,021013,Средняя доплеровская скорость в направлении z,m/s,0,-128,8,m/s,0,3,,,Operational,PDF
bufr4/0/21/014,21,Данные радиолокатора в BUFR/CREX,021014,Средняя доплеровская (радиальная) скорость,m/s,1,-4096,13,m/s,1,4,,,Operational,PDF
bufr4/0/21/017,21,Данные радиолокатора в BUFR/CREX,021017,Спектральная ширина доплеровской скорости,m/s,1,0,8,m/s,1,3,,,Operational,PDF
bufr4/0/21/018,21,Данные радиолокатора в BUFR/CREX,021018,Расширенная скорость Найквиста,m/s,1,0,10,m/s,1,4,,,Operational,PDF
bufr4/0/21/019,21,Данные радиолокатора в BUFR/CREX,021019,Высокая скорость Найквиста,m/s,1,0,10,m/s,1,3,,,Operational,PDF
bufr4/0/21/021,21,Данные радиолокатора в BUFR/CREX,021021,Верхняя граница радиолокационного отражения,m,-3,0,4,m,-3,2,,,Operational,PDF
bufr4/0/21/022,21,Данные радиолокатора в BUFR/CREX,021022,Отклонение элемента разрешения по дальности,m,1,0,14,m,1,5,,,Operational,PDF
bufr4/0/21/023,21,Данные радиолокатора в BUFR/CREX,021023,Размер элемента разрешения по дальности,m,0,0,14,m,0,5,,,Operational,PDF
bufr4/0/21/024,21,Данные радиолокатора в BUFR/CREX,021024,Отклонение азимута,deg,1,0,12,deg,1,4,,,Operational,PDF
bufr4/0/21/025,21,Данные радиолокатора в BUFR/CREX,021025,Азимутальное разрешение,deg,1,0,8,deg,1,3,,,Operational,PDF
bufr4/0/21/028,21,Данные радиолокатора в BUFR/CREX,021028,Дифференциальная фаза,deg,1,0,12,deg,1,4,,,Operational,PDF
bufr4/0/21/029,21,Данные радиолокатора в BUFR/CREX,021029,Коэффициент корреляции перекрестной поляризации,Числовой,2,-100,8,Числовой,2,3,,,Operational,PDF
bufr4/0/21/030,21,Данные радиолокатора в BUFR/CREX,021030,Соотношение сигнал/шум,dB,0,-32,8,dB,0,3,,,Operational,PDF
bufr4/0/21/031,21,Данные радиолокатора в BUFR/CREX,021031,Интегрированное по вертикали содержание жидкой воды,kg m-2,0,0,7,kg m-2,0,3,,,Operational,PDF
bufr4/0/21/036,21,Данные радиолокатора в BUFR/CREX,021036,Интенсивность дождя по радиационным данным,m/s,7,0,12,m/s,7,4,,,Operational,PDF
bufr4/0/21/041,21,Данные радиолокатора в BUFR/CREX,021041,Высота яркой полосы,m,-2,0,8,m,-2,3,,,Operational,PDF
bufr4/0/21/051,21,Данные радиолокатора в BUFR/CREX,021051,"Мощность сигнала, превышающего 1 мВт (величина помех)",dB,0,-256,8,dB,0,3,,,Operational,PDF
bufr4/0/21/062,21,Данные радиолокатора в BUFR/CREX,021062,Обратное рассеяние,dB,2,-5000,13,dB,2,4,,,Operational,PDF
bufr4/0/21/063,21,Данные радиолокатора в BUFR/CREX,021063,Радиометрическое разрешение (величина помех),%,1,0,10,%,1,4,,,Operational,PDF
bufr4/0/21/064,21,Данные радиолокатора в BUFR/CREX,021064,Оценочное значение мешающих отражений,Числовой,0,0,8,Числовой,0,3,,,Operational,PDF
bufr4/0/21/065,21,Данные радиолокатора в BUFR/CREX,021065,Счетчик отсутствующего пакета,Числовой,0,-127,8,Числовой,0,3,,,Operational,PDF
bufr4/0/21/066,21,Данные радиолокатора в BUFR/CREX,021066,Данные о достоверности продукции волнового рефлектометра,Таблица флагов,0,0,12,Таблица флагов,0,4,,,Operational,PDF
bufr4/0/21/067,21,Данные радиолокатора в BUFR/CREX,021067,Данные о достоверности продукции о ветре,Таблица флагов,0,0,13,Таблица флагов,0,5,,,Operational,PDF
bufr4/0/21/068,21,Данные радиолокатора в BUFR/CREX,021068,Данные о достоверности продукции радиолокационного альтиметра,Таблица флагов,0,0,8,Таблица флагов,0,3,,,Operational,PDF
bufr4/0/21/069,21,Данные радиолокатора в BUFR/CREX,021069,Данные о достоверности продукции ТПМ,Таблица флагов,0,0,10,Таблица флагов,0,4,,,Operational,PDF
bufr4/0/21/070,21,Данные радиолокатора в BUFR/CREX,021070,Данные о достоверности продукции по ТПМ (SADIST-2),Таблица флагов,0,0,23,Таблица флагов,0,6,,,Operational,PDF
bufr4/0/21/071,21,Данные радиолокатора в BUFR/CREX,021071,Максимальные значения,Числовой,0,0,16,Числовой,0,5,,,Operational,PDF
bufr4/0/21/072,21,Данные радиолокатора в BUFR/CREX,021072,Статус калибровки альтиметра на спутнике,Таблица флагов,0,0,4,Таблица флагов,0,2,,,Operational,PDF
bufr4/0/21/073,21,Данные радиолокатора в BUFR/CREX,021073,Режим спутникового альтиметра,Таблица флагов,0,0,9,Таблица флагов,0,3,,,Operational,PDF
bufr4/0/21/075,21,Данные радиолокатора в BUFR/CREX,021075,Интенсивность спектра изображения,Числовой,0,0,8,Числовой,0,3,,,Operational,PDF
bufr4/0/21/076,21,Данные радиолокатора в BUFR/CREX,021076,Представление интенсивностей,Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/21/077,21,Данные радиолокатора в BUFR/CREX,021077,Коррекция высоты (ионосфера),m,3,0,14,m,3,5,,,Operational,PDF
bufr4/0/21/078,21,Данные радиолокатора в BUFR/CREX,021078,Коррекция высоты (сухая тропосфера),m,3,0,9,m,3,3,,,Operational,PDF
bufr4/0/21/079,21,Данные радиолокатора в BUFR/CREX,021079,Коррекция высоты (влажная тропосфера),m,3,2000,10,m,3,4,,,Operational,PDF
bufr4/0/21/080,21,Данные радиолокатора в BUFR/CREX,021080,Коррекция высоты (калибровочная постоянная),m,3,0,11,m,3,4,,,Operational,PDF
bufr4/0/21/081,21,Данные радиолокатора в BUFR/CREX,021081,Коррекция разомкнутого контура (контур высота–время),m,3,0,10,m,3,4,,,Operational,PDF
bufr4/0/21/082,21,Данные радиолокатора в BUFR/CREX,021082,Коррекция разомкнутого контура (контроль автоматического усиления),dB,3,-3000,14,dB,3,5,,,Operational,PDF
bufr4/0/21/083,21,Данные радиолокатора в BUFR/CREX,021083,Калибровка по теплой мишени,Числовой,0,0,16,Числовой,0,5,,,Operational,PDF
bufr4/0/21/084,21,Данные радиолокатора в BUFR/CREX,021084,Калибровка по холодной мишени,Числовой,0,0,16,Числовой,0,5,,,Operational,PDF
