ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/10/001,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010001,Высота поверхности суши,m,0,-400,15,m,0,5,,,Operational,PDF
bufr4/0/10/002,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010002,Высота,m,-1,-40,16,m,-1,5,,,Operational,PDF
bufr4/0/10/003,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010003,Геопотенциал,m2 s-2,-1,-400,17,m2 s-2,-1,6,,,Operational,PDF
bufr4/0/10/004,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010004,Давление,Pa,-1,0,14,Pa,-1,5,,,Operational,PDF
bufr4/0/10/007,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010007,Высота,m,0,-1000,17,m,0,6,,,Operational,PDF
bufr4/0/10/008,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010008,Геопотенциал,m2 s-2,0,-10000,20,m2 s-2,0,7,,,Operational,PDF
bufr4/0/10/009,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010009,Геопотенциальная высота,gpm,0,-1000,17,gpm,0,5,,,Operational,PDF
bufr4/0/10/010,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010010,"Минимальное давление, приведенное к среднему уровню моря",Pa,-1,0,14,Pa,-1,5,,,Operational,PDF
bufr4/0/10/011,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010011,"Максимальное давление, приведенное к среднему уровню моря",Pa,-1,0,14,Pa,-1,5,,,Operational,PDF
bufr4/0/10/031,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010031,"В направлении Северного полюса, расстояние от центра Земли",m,2,-1073741824,31,m,2,10,(см. примечания 2 и 3),"93,150",Operational,PDF
bufr4/0/10/032,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010032,Расстояние от спутника до центра Земли,m,1,0,27,m,2,9,,,Operational,PDF
bufr4/0/10/033,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010033,Высота (платформы над эллипсоидом),m,1,0,27,m,2,9,,,Operational,PDF
bufr4/0/10/034,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010034,Радиус Земли,m,1,0,27,m,2,9,,,Operational,PDF
bufr4/0/10/035,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010035,Местный радиус кривизны Земли,m,1,62000000,22,m,1,8,,,Operational,PDF
bufr4/0/10/036,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010036,Неровность геоида,m,2,-15000,15,m,2,6,(см. примечание 4),128,Operational,PDF
bufr4/0/10/038,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010038,Максимальная высота палубного груза над летней грузовой маркой,m,0,0,6,m,0,2,,,Operational,PDF
bufr4/0/10/039,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010039,Отклонение контрольного уровня (летняя максимальная грузовая марка) от фактического уровня моря,m,0,-32,6,m,0,3,,,Operational,PDF
bufr4/0/10/040,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010040,Число восстановленных слоев,Числовой,0,0,10,Числовой,0,4,,,Operational,PDF
bufr4/0/10/050,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010050,Стандартное отклонение высоты,m,2,0,16,m,2,5,,,Operational,PDF
bufr4/0/10/051,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010051,"Давление, приведенное к среднему уровню моря",Pa,-1,0,14,Pa,-1,5,,,Operational,PDF
bufr4/0/10/052,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010052,Установка высотомера (QNH),Pa,-1,0,14,Pa,-1,5,,,Operational,PDF
bufr4/0/10/053,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010053,Высота глобальной навигационной спутниковой системы,m,0,-1000,17,m,0,5,,,Operational,PDF
bufr4/0/10/060,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010060,Изменение давления,Pa,-1,-1024,11,Pa,-1,4,,,Operational,PDF
bufr4/0/10/061,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010061,Изменение давления за 3 часа,Pa,-1,-500,10,Pa,-1,4,,,Operational,PDF
bufr4/0/10/062,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010062,Изменение давления за 24 часа,Pa,-1,-1000,11,Pa,-1,4,,,Operational,PDF
bufr4/0/10/063,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010063,Характеристика барической тенденции,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/10/064,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010064,Крейсерский эшелон SIGMET,Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/10/070,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010070,Указанная высота воздушного судна,m,0,-400,16,m,0,5,,,Operational,PDF
bufr4/0/10/071,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010071,Вертикальное разрешение,m,0,0,14,m,0,5,,,Operational,PDF
bufr4/0/10/079,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010079,Отклонение спутника от надира по данным с платформы,deg,4,0,16,deg,4,5,,,Operational,PDF
bufr4/0/10/080,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010080,Зенитный угол визирования,deg,2,-9000,15,deg,2,5,,,Operational,PDF
bufr4/0/10/081,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010081,Высота центра тяжести (COG) над референс-эллипсоидом,m,3,0,31,m,3,10,,,Operational,PDF
bufr4/0/10/082,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010082,Мгновенная скорость изменения высоты,m/s,3,-65536,17,m/s,3,6,,,Operational,PDF
bufr4/0/10/083,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010083,Квадрат угла отклонения спутника от надира по данным с платформы,deg2,2,0,16,deg2,2,5,,,Operational,PDF
bufr4/0/10/084,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010084,Квадрат угла отклонения спутника от надира по данным о форме волны,deg2,2,0,16,deg2,2,5,,,Operational,PDF
bufr4/0/10/085,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010085,Средняя высота поверхности моря,m,3,-131072,18,m,3,6,,,Operational,PDF
bufr4/0/10/086,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010086,Высота геоида,m,3,-131072,18,m,3,6,,,Operational,PDF
bufr4/0/10/087,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010087,Глубина океана/высота суши над уровнем моря,m,1,-131072,18,m,1,6,,,Operational,PDF
bufr4/0/10/088,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010088,Геоцентрическая высота полного океанического прилива (решение 1),m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/089,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010089,Геоцентрическая высота полного океанического прилива (решение 2),m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/090,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010090,Высота долгопериодного прилива,m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/091,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010091,Высота приливной нагрузки,m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/092,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010092,Высота приливно-отливных явлений твердой оболочки Земли,m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/093,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010093,Геоцентрическая высота полюсного прилива,m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/095,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010095,Используемая высота атмосферы,m,0,0,16,m,0,5,,,Operational,PDF
bufr4/0/10/096,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010096,Средняя динамическая топография,m,3,-131072,18,m,3,6,,,Operational,PDF
bufr4/0/10/097,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010097,Средняя высота поверхности моря только по альтиметру,m,3,-131072,18,m,3,6,,,Operational,PDF
bufr4/0/10/098,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010098,"Геоцентрическая высота приливной нагрузки океанического прилива, решение 1",m,4,-2000,12,m,4,4,,,Operational,PDF
bufr4/0/10/099,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010099,"Геоцентрическая высота приливной нагрузки океанического прилива, решение 2",m,4,-2000,12,m,4,4,,,Operational,PDF
bufr4/0/10/100,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010100,Высота неравновесного долгопериодного прилива,m,4,-2000,12,m,4,4,,,Operational,PDF
bufr4/0/10/101,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010101,Квадрат угла отклонения спутника от надира по данным о форме волны,deg2,2,-32768,16,deg2,2,5,,,Operational,PDF
bufr4/0/10/102,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010102,Аномалия высоты поверхности моря,m,3,-32768,16,m,3,5,,,Operational,PDF
bufr4/0/10/103,10,Бескоординатное местоположение (вертикальное) в BUFR/CREX,010103,Точность средней динамической топографии,m,3,-131072,18,m,3,6,,,Operational,PDF
