ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/04/001,04,Местоположение (время) в BUFR/CREX,004001,Год,a,0,0,12,a,0,4,,,Operational,PDF
bufr4/0/04/002,04,Местоположение (время) в BUFR/CREX,004002,Месяц,mon,0,0,4,mon,0,2,,,Operational,PDF
bufr4/0/04/003,04,Местоположение (время) в BUFR/CREX,004003,День,d,0,0,6,d,0,2,,,Operational,PDF
bufr4/0/04/004,04,Местоположение (время) в BUFR/CREX,004004,Час,h,0,0,5,h,0,2,,,Operational,PDF
bufr4/0/04/005,04,Местоположение (время) в BUFR/CREX,004005,Минута,min,0,0,6,min,0,2,,,Operational,PDF
bufr4/0/04/006,04,Местоположение (время) в BUFR/CREX,004006,Секунда,s,0,0,6,s,0,2,,,Operational,PDF
bufr4/0/04/007,04,Местоположение (время) в BUFR/CREX,004007,Секунды в минуте (точность в микросекундах),s,6,0,26,s,6,8,,,Operational,PDF
bufr4/0/04/011,04,Местоположение (время) в BUFR/CREX,004011,Временнóй инкремент,a,0,-1024,11,a,0,4,,,Operational,PDF
bufr4/0/04/012,04,Местоположение (время) в BUFR/CREX,004012,Временнóй инкремент,mon,0,-1024,11,mon,0,4,,,Operational,PDF
bufr4/0/04/013,04,Местоположение (время) в BUFR/CREX,004013,Временнóй инкремент,d,0,-1024,11,d,0,4,,,Operational,PDF
bufr4/0/04/014,04,Местоположение (время) в BUFR/CREX,004014,Временнóй инкремент,h,0,-1024,11,h,0,4,,,Operational,PDF
bufr4/0/04/015,04,Местоположение (время) в BUFR/CREX,004015,Временнóй инкремент,min,0,-2048,12,min,0,4,,,Operational,PDF
bufr4/0/04/016,04,Местоположение (время) в BUFR/CREX,004016,Временнóй инкремент,s,0,-4096,13,s,0,4,,,Operational,PDF
bufr4/0/04/017,04,Местоположение (время) в BUFR/CREX,004017,Базовый период времени для накопленных или экстремальных данных,min,0,-1440,12,min,0,4,,,Operational,PDF
bufr4/0/04/021,04,Местоположение (время) в BUFR/CREX,004021,Временнóй период или отклонение,a,0,-1024,11,a,0,4,,,Operational,PDF
bufr4/0/04/022,04,Местоположение (время) в BUFR/CREX,004022,Временнóй период или отклонение,mon,0,-1024,11,mon,0,4,,,Operational,PDF
bufr4/0/04/023,04,Местоположение (время) в BUFR/CREX,004023,Временнóй период или отклонение,d,0,-1024,11,d,0,4,,,Operational,PDF
bufr4/0/04/024,04,Местоположение (время) в BUFR/CREX,004024,Временнóй период или отклонение,h,0,-2048,12,h,0,4,,,Operational,PDF
bufr4/0/04/025,04,Местоположение (время) в BUFR/CREX,004025,Временнóй период или отклонение,min,0,-2048,12,min,0,4,,,Operational,PDF
bufr4/0/04/026,04,Местоположение (время) в BUFR/CREX,004026,Временнóй период или отклонение,s,0,-4096,13,s,0,4,,,Operational,PDF
bufr4/0/04/031,04,Местоположение (время) в BUFR/CREX,004031,"Продолжительность времени, относящаяся к следующему значению",h,0,0,8,h,0,3,,,Operational,PDF
bufr4/0/04/032,04,Местоположение (время) в BUFR/CREX,004032,"Продолжительность времени, относящаяся к следующему значению",min,0,0,6,min,0,2,,,Operational,PDF
bufr4/0/04/041,04,Местоположение (время) в BUFR/CREX,004041,"Разность времени, ВСВ – МВ",min,0,-1440,12,min,0,4,(см. примечание 6),48,Operational,PDF
bufr4/0/04/043,04,Местоположение (время) в BUFR/CREX,004043,День года,d,0,0,9,d,0,3,,,Operational,PDF
bufr4/0/04/051,04,Местоположение (время) в BUFR/CREX,004051,Основной срок суточного считывания показателей максимальной температуры,h,0,0,5,h,0,2,,,Operational,PDF
bufr4/0/04/052,04,Местоположение (время) в BUFR/CREX,004052,Основной срок суточного считывания показателей минимальной температуры,h,0,0,5,h,0,2,,,Operational,PDF
bufr4/0/04/053,04,Местоположение (время) в BUFR/CREX,004053,"Число дней с осадками, равными или более 1 мм",Числовой,0,0,6,Числовой,0,2,,,Operational,PDF
bufr4/0/04/059,04,Местоположение (время) в BUFR/CREX,004059,"Сроки наблюдений, использованные для расчета сообщаемых средних величин",Таблица флагов,0,0,6,Таблица флагов,0,2,,,Operational,PDF
bufr4/0/04/065,04,Местоположение (время) в BUFR/CREX,004065,Короткий временнóй инкремент,min,0,-128,8,min,0,2,,,Operational,PDF
bufr4/0/04/066,04,Местоположение (время) в BUFR/CREX,004066,Короткий временнóй инкремент,s,0,-128,8,s,0,2,,,Operational,PDF
bufr4/0/04/073,04,Местоположение (время) в BUFR/CREX,004073,Кратковременный период или отклонение,d,0,-128,8,d,0,2,,,Operational,PDF
bufr4/0/04/074,04,Местоположение (время) в BUFR/CREX,004074,Кратковременный период или отклонение,h,0,-128,8,h,0,2,,,Operational,PDF
bufr4/0/04/075,04,Местоположение (время) в BUFR/CREX,004075,Кратковременный период или отклонение,min,0,-128,8,min,0,2,,,Operational,PDF
bufr4/0/04/080,04,Местоположение (время) в BUFR/CREX,004080,Период усреднения для следующего значения,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/04/086,04,Местоположение (время) в BUFR/CREX,004086,Долговременный период или смещение,s,0,-8192,15,s,0,5,,,Operational,PDF
