ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/27/001,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027001,Широта (высокая точность),deg,5,-9000000,25,deg,5,7,,,Operational,PDF
bufr4/0/27/002,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027002,Широта (низкая точность),deg,2,-9000,15,deg,2,4,,,Operational,PDF
bufr4/0/27/003,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027003,Альтернативная широта (низкая точность),deg,2,-9000,15,deg,2,4,(см. примечание 1),132,Operational,PDF
bufr4/0/27/004,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027004,Альтернативная широта (высокая точность),deg,5,-9000000,25,deg,5,7,(см. примечание 1),132,Operational,PDF
bufr4/0/27/010,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027010,Ось 1 зоны покрытия,m,-1,0,14,m,-1,5,,,Operational,PDF
bufr4/0/27/020,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027020,Отсчет местоположения спутника,Числовой,0,0,16,Числовой,0,5,(см. примечание 2),143,Operational,PDF
bufr4/0/27/021,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027021,Размерность дополнительного определения местоположения спутника,Числовой,0,0,16,Числовой,0,5,(см. примечание 3),144,Operational,PDF
bufr4/0/27/031,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027031,"В направлении 0 градусов долготы, расстояние от центра Земли",m,2,-1073741824,31,m,2,10,(см. примечания 4 и 5),"96,151",Operational,PDF
bufr4/0/27/079,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027079,Горизонтальная ширина измеряемого объема,m,0,0,18,m,0,6,,,Operational,PDF
bufr4/0/27/080,27,Бескоординатное местоположение (горизонтальное — 1) в BUFR/CREX,027080,Азимутальный угол визирования,degree true,2,0,16,degree true,0,5,,,Operational,PDF
