ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/35/000,35,Информация о мониторинге данных в BUFR/CREX,035000,FM и номер регионального кода,Кодовая таблица,0,0,10,Кодовая таблица,0,3,,,Operational,PDF
bufr4/0/35/001,35,Информация о мониторинге данных в BUFR/CREX,035001,Временной период мониторинга,Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/35/011,35,Информация о мониторинге данных в BUFR/CREX,035011,Количество фактически полученных сводок,Числовой,0,0,14,Числовой,0,4,,,Operational,PDF
bufr4/0/35/021,35,Информация о мониторинге данных в BUFR/CREX,035021,Контролируемый бюллетень (TTAAii),CCITT IA5,0,0,48,Символ,0,6,,,Operational,PDF
bufr4/0/35/022,35,Информация о мониторинге данных в BUFR/CREX,035022,Контролируемый бюллетень (YYGGgg),CCITT IA5,0,0,48,Символ,0,6,,,Operational,PDF
bufr4/0/35/023,35,Информация о мониторинге данных в BUFR/CREX,035023,Контролируемый бюллетень (CCCC),CCITT IA5,0,0,32,Символ,0,4,,,Operational,PDF
bufr4/0/35/024,35,Информация о мониторинге данных в BUFR/CREX,035024,Контролируемый бюллетень (ВВВ),CCITT IA5,0,0,24,Символ,0,3,,,Operational,PDF
bufr4/0/35/030,35,Информация о мониторинге данных в BUFR/CREX,035030,Несоответствия в поступлении ожидаемых данных,Кодовая таблица,0,0,4,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/35/031,35,Информация о мониторинге данных в BUFR/CREX,035031,Показатель оценки результатов мониторинга,Кодовая таблица,0,0,7,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/35/032,35,Информация о мониторинге данных в BUFR/CREX,035032,Причина отсутствия данных,Кодовая таблица,0,0,4,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/35/033,35,Информация о мониторинге данных в BUFR/CREX,035033,Недостатки в наблюдениях и сборе данных,Кодовая таблица,0,0,7,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/35/034,35,Информация о мониторинге данных в BUFR/CREX,035034,Статистические тенденции в отношении наличия данных (в течение периода(ов) обзора),Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/35/035,35,Информация о мониторинге данных в BUFR/CREX,035035,Причина прекращения подъема,Кодовая таблица,0,0,5,Кодовая таблица,0,2,,,Operational,PDF
