ID,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status,translation_source
bufr4/0/22/001,22,Океанографические элементы в BUFR/CREX,022001,Направление волн,degree true,0,0,9,degree true,0,3,(см. примечание 6),136,Operational,PDF
bufr4/0/22/002,22,Океанографические элементы в BUFR/CREX,022002,Направление ветровых волн,degree true,0,0,9,degree true,0,3,(см. примечание 6),136,Operational,PDF
bufr4/0/22/003,22,Океанографические элементы в BUFR/CREX,022003,Направление зыби,degree true,0,0,9,degree true,0,3,(см. примечание 6),136,Operational,PDF
bufr4/0/22/004,22,Океанографические элементы в BUFR/CREX,022004,Направление течения,degree true,0,0,9,degree true,0,3,(см. примечание 7),54,Operational,PDF
bufr4/0/22/005,22,Океанографические элементы в BUFR/CREX,022005,Направление поверхностного морского течения,degree true,0,0,9,degree true,0,3,,,Operational,PDF
bufr4/0/22/011,22,Океанографические элементы в BUFR/CREX,022011,Период волн,s,0,0,6,s,0,2,,,Operational,PDF
bufr4/0/22/012,22,Океанографические элементы в BUFR/CREX,022012,Период ветровых волн,s,0,0,6,s,0,2,,,Operational,PDF
bufr4/0/22/013,22,Океанографические элементы в BUFR/CREX,022013,Период зыби,s,0,0,6,s,0,2,,,Operational,PDF
bufr4/0/22/021,22,Океанографические элементы в BUFR/CREX,022021,Высота волн,m,1,0,10,m,1,4,,,Operational,PDF
bufr4/0/22/022,22,Океанографические элементы в BUFR/CREX,022022,Высота ветровых волн,m,1,0,10,m,1,4,,,Operational,PDF
bufr4/0/22/023,22,Океанографические элементы в BUFR/CREX,022023,Высота зыби,m,1,0,10,m,1,4,,,Operational,PDF
bufr4/0/22/025,22,Океанографические элементы в BUFR/CREX,022025,Стандартное отклонение высоты волны,m,2,0,10,m,2,4,,,Operational,PDF
bufr4/0/22/026,22,Океанографические элементы в BUFR/CREX,022026,Стандартное отклонение высоты значительной волны,m,2,0,10,m,2,4,,,Operational,PDF
bufr4/0/22/031,22,Океанографические элементы в BUFR/CREX,022031,Скорость течения,m/s,2,0,13,m/s,2,4,,,Operational,PDF
bufr4/0/22/032,22,Океанографические элементы в BUFR/CREX,022032,Скорость поверхностного морского течения,m/s,2,0,13,m/s,2,4,,,Operational,PDF
bufr4/0/22/035,22,Океанографические элементы в BUFR/CREX,022035,Высота прилива по отношению к локальному нулю графика,m,2,0,14,m,2,4,,,Operational,PDF
bufr4/0/22/036,22,Океанографические элементы в BUFR/CREX,022036,Метеорологическая составляющая высоты прилива (нагон или сгон),m,2,0,14,m,2,4,,,Operational,PDF
bufr4/0/22/037,22,Океанографические элементы в BUFR/CREX,022037,Высота прилива по отношению к национальному наземному реперу,m,3,-10000,15,m,3,5,,,Operational,PDF
bufr4/0/22/038,22,Океанографические элементы в BUFR/CREX,022038,Высота прилива по отношению к локальному нулю графика,m,3,-10000,15,m,3,5,,,Operational,PDF
bufr4/0/22/039,22,Океанографические элементы в BUFR/CREX,022039,Метеорологическая составляющая высоты прилива (нагон или сгон),m,3,-5000,13,m,3,4,(см. примечание 4),55,Operational,PDF
bufr4/0/22/040,22,Океанографические элементы в BUFR/CREX,022040,Метеорологическая составляющая высоты прилива (нагон или сгон),m,3,-5000,14,m,3,5,(см. примечание 4),55,Operational,PDF
bufr4/0/22/041,22,Океанографические элементы в BUFR/CREX,022041,Температура поверхности моря (скользящая средняя за 15 дней),K,1,0,12,K,1,4,,,Operational,PDF
bufr4/0/22/042,22,Океанографические элементы в BUFR/CREX,022042,Температура моря/воды,K,1,0,12,K,1,4,,,Operational,PDF
bufr4/0/22/043,22,Океанографические элементы в BUFR/CREX,022043,Температура моря/воды,K,2,0,15,K,2,5,,,Operational,PDF
bufr4/0/22/044,22,Океанографические элементы в BUFR/CREX,022044,Скорость звука,m/s,1,0,14,m/s,1,5,,,Operational,PDF
bufr4/0/22/045,22,Океанографические элементы в BUFR/CREX,022045,Температура моря/воды,K,3,0,19,K,3,6,,,Operational,PDF
bufr4/0/22/046,22,Океанографические элементы в BUFR/CREX,022046,Доля морского льда,Числовой,2,0,7,Числовой,2,3,,,Operational,PDF
bufr4/0/22/049,22,Океанографические элементы в BUFR/CREX,022049,Температура морской поверхности,K,2,0,15,K,2,5,,,Operational,PDF
bufr4/0/22/050,22,Океанографические элементы в BUFR/CREX,022050,Стандартное отклонение температуры поверхности моря,K,2,0,8,K,2,3,,,Operational,PDF
bufr4/0/22/055,22,Океанографические элементы в BUFR/CREX,022055,Номер цикла буя,Числовой,0,0,10,Числовой,0,3,,,Operational,PDF
bufr4/0/22/056,22,Океанографические элементы в BUFR/CREX,022056,Направление профиля,Кодовая таблица,0,0,2,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/22/059,22,Океанографические элементы в BUFR/CREX,022059,Соленость на поверхности моря,0/00,2,0,14,0/00,2,5,,,Operational,PDF
bufr4/0/22/060,22,Океанографические элементы в BUFR/CREX,022060,Состояние плавучего якоря дрейфующего буя Лагранжа,Кодовая таблица,0,0,3,Кодовая таблица,0,1,,,Operational,PDF
bufr4/0/22/061,22,Океанографические элементы в BUFR/CREX,022061,Состояние моря,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational,PDF
bufr4/0/22/062,22,Океанографические элементы в BUFR/CREX,022062,Соленость,0/00,2,0,14,0/00,2,5,,,Operational,PDF
bufr4/0/22/063,22,Океанографические элементы в BUFR/CREX,022063,Общая глубина воды,m,0,0,14,m,0,5,,,Operational,PDF
bufr4/0/22/064,22,Океанографические элементы в BUFR/CREX,022064,Соленость,0/00,3,0,17,0/00,3,6,,,Operational,PDF
bufr4/0/22/065,22,Океанографические элементы в BUFR/CREX,022065,Давление воды,Pa,-3,0,17,Pa,-3,6,,,Operational,PDF
bufr4/0/22/066,22,Океанографические элементы в BUFR/CREX,022066,Проводимость воды,S/m,6,0,26,S/m,6,8,,,Operational,PDF
bufr4/0/22/067,22,Океанографические элементы в BUFR/CREX,022067,Тип прибора для измерений профиля температуры/солености воды,Кодовая таблица,0,0,10,Кодовая таблица,0,4,,,Operational,PDF
bufr4/0/22/068,22,Океанографические элементы в BUFR/CREX,022068,Типы регистраторов профиля температуры воды,Кодовая таблица,0,0,7,Кодовая таблица,0,3,,,Operational,PDF
bufr4/0/22/069,22,Океанографические элементы в BUFR/CREX,022069,Спектральная плотность волн,m2/Hz,3,0,22,m2/Hz,3,7,,,Operational,PDF
bufr4/0/22/070,22,Океанографические элементы в BUFR/CREX,022070,Высота значительной волны,m,2,0,13,m,2,4,(см. примечание 1),146,Operational,PDF
bufr4/0/22/071,22,Океанографические элементы в BUFR/CREX,022071,Спектральный пиковый период волны,s,1,0,9,s,1,3,,,Operational,PDF
bufr4/0/22/072,22,Океанографические элементы в BUFR/CREX,022072,Спектральная пиковая длина волны,m,0,0,13,m,0,4,,,Operational,PDF
bufr4/0/22/073,22,Океанографические элементы в BUFR/CREX,022073,Максимальная высота волны,m,2,0,13,m,2,4,,,Operational,PDF
bufr4/0/22/074,22,Океанографические элементы в BUFR/CREX,022074,Средний период волны,s,1,0,9,s,1,3,,,Operational,PDF
bufr4/0/22/075,22,Океанографические элементы в BUFR/CREX,022075,Средняя длина волны,m,0,0,13,m,0,4,,,Operational,PDF
bufr4/0/22/076,22,Океанографические элементы в BUFR/CREX,022076,"Направление, откуда поступают доминирующие волны",degree true,0,0,9,degree true,0,3,(см. примечание 2),137,Operational,PDF
bufr4/0/22/077,22,Океанографические элементы в BUFR/CREX,022077,Направленное распространение доминирующей волны,deg,0,0,9,deg,0,3,(см. примечание 2),137,Operational,PDF
bufr4/0/22/078,22,Океанографические элементы в BUFR/CREX,022078,Продолжительность записи наблюдений за волнами,s,0,0,12,s,0,4,,,Operational,PDF
bufr4/0/22/079,22,Океанографические элементы в BUFR/CREX,022079,Длина волнограммы,m,0,0,16,m,0,5,,,Operational,PDF
bufr4/0/22/080,22,Океанографические элементы в BUFR/CREX,022080,Центральная частота диапазона волны,Hz,3,0,10,Hz,3,4,,,Operational,PDF
