ID,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status,translation_source
bufr4/3/09/001/1/301037,09,Категория 09 — Последовательности данных вертикального зондирования,309001,(Вертикальный профиль ветра),,301037,Наземная станция вертикального зондирования ,"Идентификация и т. п. (наземная станция, местоположение с высокой точностью)",,,Operational,PDF
bufr4/3/09/001/2/101000,09,Категория 09 — Последовательности данных вертикального зондирования,309001,(Вертикальный профиль ветра),,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
bufr4/3/09/001/3/031001,09,Категория 09 — Последовательности данных вертикального зондирования,309001,(Вертикальный профиль ветра),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/09/001/4/303011,09,Категория 09 — Последовательности данных вертикального зондирования,309001,(Вертикальный профиль ветра),,303011,Ветер на определенной высоте,,,,Operational,PDF
bufr4/3/09/002/1/301038,09,Категория 09 — Последовательности данных вертикального зондирования,309002,(Вертикальный профиль ветра),,301038,Наземная станция вертикального зондирования ,"Идентификация и т. п. (наземная станция, местоположение с низкой точностью)",,,Operational,PDF
bufr4/3/09/002/2/101000,09,Категория 09 — Последовательности данных вертикального зондирования,309002,(Вертикальный профиль ветра),,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
bufr4/3/09/002/3/031001,09,Категория 09 — Последовательности данных вертикального зондирования,309002,(Вертикальный профиль ветра),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/09/002/4/303011,09,Категория 09 — Последовательности данных вертикального зондирования,309002,(Вертикальный профиль ветра),,303011,Ветер на определенной высоте,,,,Operational,PDF
bufr4/3/09/003/1/301037,09,Категория 09 — Последовательности данных вертикального зондирования,309003,(Вертикальный профиль ветра),,301037,Наземная станция вертикального зондирования,"Идентификация и т. п. (наземная станция, местоположение с высокой точностью)",,,Operational,PDF
bufr4/3/09/003/2/101000,09,Категория 09 — Последовательности данных вертикального зондирования,309003,(Вертикальный профиль ветра),,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
bufr4/3/09/003/3/031001,09,Категория 09 — Последовательности данных вертикального зондирования,309003,(Вертикальный профиль ветра),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational,PDF
bufr4/3/09/003/4/303012,09,Категория 09 — Последовательности данных вертикального зондирования,309003,(Вертикальный профиль ветра),,303012,Ветер на заданной изобарической поверхности,,,,Operational,PDF
bufr4/3/09/004/1/301038,09,Категория 09 — Последовательности данных вертикального зондирования,309004,(Вертикальный профиль ветра),,301038,Наземная станция вертикального зондирования,"Идентификация и т. п. (наземная станция, местоположение с низкой точностью)",,,Operational,PDF
bufr4/3/09/004/2/101000,09,Категория 09 — Последовательности данных вертикального зондирования,309004,(Вертикальный профиль ветра),,101000,Повторение с задержкой 1 дескриптора,,,,Operational,PDF
