ID,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status,translation_source
bufr4/0/08/001/1,008001,Significación del sondeo vertical,1,Superficie,,,,,Operational,PDF
bufr4/0/08/001/2,008001,Significación del sondeo vertical,2,Nivel estándar,,,,,Operational,PDF
bufr4/0/08/001/3,008001,Significación del sondeo vertical,3,Nivel tropopáusico,,,,,Operational,PDF
bufr4/0/08/001/4,008001,Significación del sondeo vertical,4,Nivel del viento máximo,,,,,Operational,PDF
bufr4/0/08/001/5,008001,Significación del sondeo vertical,5,"Nivel significativo, temperatura y/o humedad relativa",,,,,Operational,PDF
bufr4/0/08/001/6,008001,Significación del sondeo vertical,6,"Nivel significativo, viento",,,,,Operational,PDF
bufr4/0/08/001/All-7,008001,Significación del sondeo vertical,Todos los 7,Valor faltante,,,,,Operational,PDF
bufr4/0/08/002/0,008002,Significación vertical (observaciones en superficie),0,Reglas de observación de la base de las nubes más bajas y de los tipos de nubes aplicables a las claves FM 12 SYNOP y FM 13 SHIP,,,,,Operational,PDF
bufr4/0/08/002/1,008002,Significación vertical (observaciones en superficie),1,Primera capa significativa que no sea de cumulonimbus,,,,,Operational,PDF
bufr4/0/08/002/2,008002,Significación vertical (observaciones en superficie),2,Segunda capa significativa que no sea de cumulonimbus,,,,,Operational,PDF
bufr4/0/08/002/3,008002,Significación vertical (observaciones en superficie),3,Tercera capa significativa que no sea de cumulonimbus,,,,,Operational,PDF
bufr4/0/08/002/4,008002,Significación vertical (observaciones en superficie),4,Capa de cumulonimbus,,,,,Operational,PDF
bufr4/0/08/002/5,008002,Significación vertical (observaciones en superficie),5,Techo de nubes,,,,,Operational,PDF
bufr4/0/08/002/6,008002,Significación vertical (observaciones en superficie),6,Nubes no detectadas por debajo de las alturas siguientes,,,,,Operational,PDF
bufr4/0/08/002/7,008002,Significación vertical (observaciones en superficie),7,Nube baja,,,,,Operational,PDF
bufr4/0/08/002/8,008002,Significación vertical (observaciones en superficie),8,Nube media,,,,,Operational,PDF
bufr4/0/08/002/9,008002,Significación vertical (observaciones en superficie),9,Nube alta,,,,,Operational,PDF
bufr4/0/08/002/10,008002,Significación vertical (observaciones en superficie),10,Capa nubosa con base por debajo y cima por encima de la estación,,,,,Operational,PDF
bufr4/0/08/002/11,008002,Significación vertical (observaciones en superficie),11,Capa nubosa con base y cima por debajo del nivel de la estación,,,,,Operational,PDF
bufr4/0/08/002/12-19,008002,Significación vertical (observaciones en superficie),12-19,Reservadas,,,,,Operational,PDF
bufr4/0/08/002/20,008002,Significación vertical (observaciones en superficie),20,El sistema de detección de nubes no ha detectado nubes,,,,,Operational,PDF
bufr4/0/08/002/21,008002,Significación vertical (observaciones en superficie),21,Primer instrumento detecta capa nubosa,,,,,Operational,PDF
bufr4/0/08/002/22,008002,Significación vertical (observaciones en superficie),22,Segundo instrumento detecta capa nubosa,,,,,Operational,PDF
bufr4/0/08/002/23,008002,Significación vertical (observaciones en superficie),23,Tercero instrumento detecta capa nubosa,,,,,Operational,PDF
bufr4/0/08/002/24,008002,Significación vertical (observaciones en superficie),24,Cuarto instrumento detecta capa nubosa,,,,,Operational,PDF
bufr4/0/08/002/25-61,008002,Significación vertical (observaciones en superficie),25-61,Reservadas,,,,,Operational,PDF
bufr4/0/08/002/62,008002,Significación vertical (observaciones en superficie),62,Valor no aplicable,,,,,Operational,PDF
bufr4/0/08/002/63,008002,Significación vertical (observaciones en superficie),63,Valor faltante,,,,,Operational,PDF
bufr4/0/08/003/0,008003,Significación vertical (observaciones satelitales),0,Superficie,,,,,Operational,PDF
bufr4/0/08/003/1,008003,Significación vertical (observaciones satelitales),1,Base del sondeo por satélite,,,,,Operational,PDF
bufr4/0/08/003/2,008003,Significación vertical (observaciones satelitales),2,Cima de nubes,,,,,Operational,PDF
bufr4/0/08/003/3,008003,Significación vertical (observaciones satelitales),3,Tropopausa,,,,,Operational,PDF
bufr4/0/08/003/4,008003,Significación vertical (observaciones satelitales),4,Agua precipitable,,,,,Operational,PDF
bufr4/0/08/003/5,008003,Significación vertical (observaciones satelitales),5,Radiancias observadas por sondeo,,,,,Operational,PDF
bufr4/0/08/003/6,008003,Significación vertical (observaciones satelitales),6,Temperaturas medias,,,,,Operational,PDF
bufr4/0/08/003/7,008003,Significación vertical (observaciones satelitales),7,Ozono,,,,,Operational,PDF
bufr4/0/08/003/8,008003,Significación vertical (observaciones satelitales),8,Nubes bajas,,,,,Operational,PDF
bufr4/0/08/003/9,008003,Significación vertical (observaciones satelitales),9,Nubes medias,,,,,Operational,PDF
bufr4/0/08/003/10,008003,Significación vertical (observaciones satelitales),10,Nubes altas,,,,,Operational,PDF
bufr4/0/08/003/11-62,008003,Significación vertical (observaciones satelitales),11-62,Reservadas,,,,,Operational,PDF
