ID,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status,translation_source
bufr4/0/04/059/1,004059,Horas de observación utilizadas para calcular los valores medios notificados,1,0000 UTC,,,,,Operational,PDF
bufr4/0/04/059/2,004059,Horas de observación utilizadas para calcular los valores medios notificados,2,0600 UTC,,,,,Operational,PDF
bufr4/0/04/059/3,004059,Horas de observación utilizadas para calcular los valores medios notificados,3,1200 UTC,,,,,Operational,PDF
bufr4/0/04/059/4,004059,Horas de observación utilizadas para calcular los valores medios notificados,4,1800 UTC,,,,,Operational,PDF
bufr4/0/04/059/5,004059,Horas de observación utilizadas para calcular los valores medios notificados,5,Otras horas,,,,,Operational,PDF
bufr4/0/04/059/All-6,004059,Horas de observación utilizadas para calcular los valores medios notificados,Todos los 6,Valor faltante,,,,,Operational,PDF
bufr4/0/04/080/0,004080,Período de premediación para el valor siguiente,0,Valores inmediatos,,,,,Operational,PDF
bufr4/0/04/080/1,004080,Período de premediación para el valor siguiente,1,Menos de 15 min,,,,,Operational,PDF
bufr4/0/04/080/2,004080,Período de premediación para el valor siguiente,2,De 15 a 45 min,,,,,Operational,PDF
bufr4/0/04/080/3,004080,Período de premediación para el valor siguiente,3,Más de 45 min,,,,,Operational,PDF
bufr4/0/04/080/4-8,004080,Período de premediación para el valor siguiente,4-8,Reservadas,,,,,Operational,PDF
bufr4/0/04/080/9,004080,Período de premediación para el valor siguiente,9,Datos no disponibles,,,,,Operational,PDF
bufr4/0/04/080/10-14,004080,Período de premediación para el valor siguiente,10-14,No utilizadas,,,,,Operational,PDF
bufr4/0/04/080/15,004080,Período de premediación para el valor siguiente,15,Valor faltante,,,,,Operational,PDF
