Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/27/001,27,Ubicación sin coordenadas (horizontal – 1),027001,Latitud (gran exactitud),°,5,-9000000,25,°,5,7,,,Operational,Original
bufr4/0/27/002,27,Ubicación sin coordenadas (horizontal – 1),027002,Latitud (exactitud aproximada),°,2,-9000,15,°,2,4,,,Operational,Original
bufr4/0/27/003,27,Ubicación sin coordenadas (horizontal – 1),027003,Latitud alterna (exactitud aproximada),°,2,-9000,15,°,2,4,(véase la nota 1),132,Operational,Original
bufr4/0/27/004,27,Ubicación sin coordenadas (horizontal – 1),027004,Latitud alterna (gran exactitud),°,5,-9000000,25,°,5,7,(véase la nota 1),132,Operational,Original
bufr4/0/27/010,27,Ubicación sin coordenadas (horizontal – 1),027010,Eje de huella 1,m,-1,0,14,m,-1,5,,,Operational,Original
bufr4/0/27/020,27,Ubicación sin coordenadas (horizontal – 1),027020,Contador de la ubicación de los satélites,Numérica,0,0,16,Numérica,0,5,(véase la nota 2),143,Operational,Original
bufr4/0/27/021,27,Ubicación sin coordenadas (horizontal – 1),027021,Dimensión de sububicación de los satélites,Numérica,0,0,16,Numérica,0,5,(véase la nota 3),144,Operational,Original
bufr4/0/27/031,27,Ubicación sin coordenadas (horizontal – 1),027031,Distancia desde el centro de la Tierra en dirección de 0 grados de longitud,m,2,-1073741824,31,m,2,10,(véanse las notas 4 y 5),"96,151",Operational,Original
bufr4/0/27/079,27,Ubicación sin coordenadas (horizontal – 1),027079,Anchura horizontal del volumen de muestra,m,0,0,18,m,0,6,,,Operational,Original
bufr4/0/27/080,27,Ubicación sin coordenadas (horizontal – 1),027080,Ángulo de visión azimutal,grado verdadero,2,0,16,grado verdadero,0,5,,,Operational,Original
