ID,FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status,translation_source
bufr4/0/04/059/1,004059,Times of observation used to compute the reported mean values,1,0000 UTC,,,,,Operational,PDF
bufr4/0/04/059/2,004059,Times of observation used to compute the reported mean values,2,0600 UTC,,,,,Operational,PDF
bufr4/0/04/059/3,004059,Times of observation used to compute the reported mean values,3,1200 UTC,,,,,Operational,PDF
bufr4/0/04/059/4,004059,Times of observation used to compute the reported mean values,4,1800 UTC,,,,,Operational,PDF
bufr4/0/04/059/5,004059,Times of observation used to compute the reported mean values,5,Other hours,,,,,Operational,PDF
bufr4/0/04/059/All-6,004059,Times of observation used to compute the reported mean values,All 6,Missing value,,,,,Operational,PDF
bufr4/0/04/080/0,004080,Averaging period for following value,0,Spot values,,,,,Operational,PDF
bufr4/0/04/080/1,004080,Averaging period for following value,1,Less than 15 minutes,,,,,Operational,PDF
bufr4/0/04/080/2,004080,Averaging period for following value,2,From 15 to 45 minutes,,,,,Operational,PDF
bufr4/0/04/080/3,004080,Averaging period for following value,3,More than 45 minutes,,,,,Operational,PDF
bufr4/0/04/080/4-8,004080,Averaging period for following value,4-8,Reserved,,,,,Operational,PDF
bufr4/0/04/080/9,004080,Averaging period for following value,9,Data not available,,,,,Operational,PDF
bufr4/0/04/080/10-14,004080,Averaging period for following value,10-14,Not used,,,,,Operational,PDF
bufr4/0/04/080/15,004080,Averaging period for following value,15,Missing value,,,,,Operational,PDF
