ID,FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status,translation_source
bufr4/0/13/038/0,013038,Superadiabatic indicator,0,Not superadiabatic,,,,,Operational,PDF
bufr4/0/13/038/1,013038,Superadiabatic indicator,1,Superadiabatic,,,,,Operational,PDF
bufr4/0/13/038/2,013038,Superadiabatic indicator,2,Reserved,,,,,Operational,PDF
bufr4/0/13/038/3,013038,Superadiabatic indicator,3,Missing value,,,,,Operational,PDF
bufr4/0/13/039/0,013039,Terrain type (ice/snow),0,Sea ice,,,,,Operational,PDF
bufr4/0/13/039/1,013039,Terrain type (ice/snow),1,Snow on land,,,,,Operational,PDF
bufr4/0/13/039/2-6,013039,Terrain type (ice/snow),2-6,Reserved,,,,,Operational,PDF
bufr4/0/13/039/7,013039,Terrain type (ice/snow),7,Missing value,,,,,Operational,PDF
bufr4/0/13/040/0,013040,Surface flag,0,Land,,,,,Operational,PDF
bufr4/0/13/040/1,013040,Surface flag,1,Reserved,,,,,Operational,PDF
bufr4/0/13/040/2,013040,Surface flag,2,Near coast,,,,,Operational,PDF
bufr4/0/13/040/3,013040,Surface flag,3,Ice,,,,,Operational,PDF
bufr4/0/13/040/4,013040,Surface flag,4,Possible ice,,,,,Operational,PDF
bufr4/0/13/040/5,013040,Surface flag,5,Ocean,,,,,Operational,PDF
bufr4/0/13/040/6,013040,Surface flag,6,Coast,,,,,Operational,PDF
bufr4/0/13/040/7,013040,Surface flag,7,Inland water,,,(see Note),56,Operational,PDF
bufr4/0/13/040/8,013040,Surface flag,8,Snow cover,,,,,Operational,PDF
bufr4/0/13/040/9,013040,Surface flag,9,Sea ice,,,,,Operational,PDF
bufr4/0/13/040/10,013040,Surface flag,10,Standing water,,,,,Operational,PDF
bufr4/0/13/040/11,013040,Surface flag,11,Snow,,,,,Operational,PDF
bufr4/0/13/040/12,013040,Surface flag,12,Frozen soil,,,,,Operational,PDF
bufr4/0/13/040/13-14,013040,Surface flag,13-14,Reserved,,,,,Operational,PDF
bufr4/0/13/040/15,013040,Surface flag,15,Missing value,,,,,Operational,PDF
bufr4/0/13/041/1,013041,Pasquill-Gifford stability category,1,A,,,,,Operational,PDF
bufr4/0/13/041/2,013041,Pasquill-Gifford stability category,2,A - B,,,,,Operational,PDF
bufr4/0/13/041/3,013041,Pasquill-Gifford stability category,3,B,,,,,Operational,PDF
bufr4/0/13/041/4,013041,Pasquill-Gifford stability category,4,B - C,,,,,Operational,PDF
bufr4/0/13/041/5,013041,Pasquill-Gifford stability category,5,C,,,,,Operational,PDF
bufr4/0/13/041/6,013041,Pasquill-Gifford stability category,6,D,,,,,Operational,PDF
bufr4/0/13/041/7,013041,Pasquill-Gifford stability category,7,E,,,,,Operational,PDF
bufr4/0/13/041/8,013041,Pasquill-Gifford stability category,8,F,,,,,Operational,PDF
bufr4/0/13/041/9,013041,Pasquill-Gifford stability category,9,G,,,,,Operational,PDF
bufr4/0/13/041/10-14,013041,Pasquill-Gifford stability category,10-14,Reserved,,,,,Operational,PDF
bufr4/0/13/041/15,013041,Pasquill-Gifford stability category,15,Missing value,,,,,Operational,PDF
bufr4/0/13/051/0,013051,"Frequency group, precipitation",0,Smaller than any value in the 30-year period,,,,,Operational,PDF
bufr4/0/13/051/1,013051,"Frequency group, precipitation",1,In the first quintile,,,,,Operational,PDF
bufr4/0/13/051/2,013051,"Frequency group, precipitation",2,In the second quintile,,,,,Operational,PDF
bufr4/0/13/051/3,013051,"Frequency group, precipitation",3,In the third quintile,,,,,Operational,PDF
bufr4/0/13/051/4,013051,"Frequency group, precipitation",4,In the fourth quintile,,,,,Operational,PDF
bufr4/0/13/051/5,013051,"Frequency group, precipitation",5,In the fifth quintile,,,,,Operational,PDF
bufr4/0/13/051/6,013051,"Frequency group, precipitation",6,Greater than any value in the 30-year period,,,,,Operational,PDF
bufr4/0/13/051/7-14,013051,"Frequency group, precipitation",7-14,Reserved,,,,,Operational,PDF
bufr4/0/13/051/15,013051,"Frequency group, precipitation",15,Missing value,,,,,Operational,PDF
bufr4/0/13/056/0,013056,Character and intensity of precipitation,0,No precipitation,,,,,Operational,PDF
bufr4/0/13/056/1,013056,Character and intensity of precipitation,1,Light intermittent,,,,,Operational,PDF
bufr4/0/13/056/2,013056,Character and intensity of precipitation,2,Moderate intermittent,,,,,Operational,PDF
bufr4/0/13/056/3,013056,Character and intensity of precipitation,3,Heavy intermittent,,,,,Operational,PDF
bufr4/0/13/056/4,013056,Character and intensity of precipitation,4,Very heavy intermittent,,,,,Operational,PDF
bufr4/0/13/056/5,013056,Character and intensity of precipitation,5,Light continuous,,,,,Operational,PDF
bufr4/0/13/056/6,013056,Character and intensity of precipitation,6,Moderate continuous,,,,,Operational,PDF
bufr4/0/13/056/7,013056,Character and intensity of precipitation,7,Heavy continuous,,,,,Operational,PDF
bufr4/0/13/056/8,013056,Character and intensity of precipitation,8,Very heavy continuous,,,,,Operational,PDF
bufr4/0/13/056/9,013056,Character and intensity of precipitation,9,Variable - alternatively light and heavy,,,,,Operational,PDF
bufr4/0/13/056/10-14,013056,Character and intensity of precipitation,10-14,Reserved,,,,,Operational,PDF
bufr4/0/13/056/15,013056,Character and intensity of precipitation,15,Missing value,,,,,Operational,PDF
bufr4/0/13/057/0,013057,Time of beginning or end of precipitation,0,No precipitation,,,,,Operational,PDF
bufr4/0/13/057/1,013057,Time of beginning or end of precipitation,1,Within the last hour,,,,,Operational,PDF
bufr4/0/13/057/2,013057,Time of beginning or end of precipitation,2,1 to 2 hours ago,,,,,Operational,PDF
bufr4/0/13/057/3,013057,Time of beginning or end of precipitation,3,2 to 3 hours ago,,,,,Operational,PDF
bufr4/0/13/057/4,013057,Time of beginning or end of precipitation,4,3 to 4 hours ago,,,,,Operational,PDF
bufr4/0/13/057/5,013057,Time of beginning or end of precipitation,5,4 to 5 hours ago,,,,,Operational,PDF
bufr4/0/13/057/6,013057,Time of beginning or end of precipitation,6,5 to 6 hours ago,,,,,Operational,PDF
bufr4/0/13/057/7,013057,Time of beginning or end of precipitation,7,6 to 8 hours ago,,,,,Operational,PDF
bufr4/0/13/057/8,013057,Time of beginning or end of precipitation,8,8 to 10 hours ago,,,,,Operational,PDF
bufr4/0/13/057/9,013057,Time of beginning or end of precipitation,9,More than 10 hours ago,,,,,Operational,PDF
bufr4/0/13/057/10-14,013057,Time of beginning or end of precipitation,10-14,Reserved,,,,,Operational,PDF
bufr4/0/13/057/15,013057,Time of beginning or end of precipitation,15,Missing value,,,,,Operational,PDF
