ID,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translation_source
bufr4/3/21/001/1/002101,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002101,Type d'antenne,,,,Operational,PDF
bufr4/3/21/001/2/002114,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002114,Surface équivalente de l'antenne,,,,Operational,PDF
bufr4/3/21/001/3/002105,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002105,Gain maximal de l'antenne,,,,Operational,PDF
bufr4/3/21/001/4/002106,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002106,Ouverture de faisceau à 3 dB,,,,Operational,PDF
bufr4/3/21/001/5/002107,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002107,Suppression des lobes latéraux,,,,Operational,PDF
bufr4/3/21/001/6/002121,21,Séquences correspondant à des messages de mesures par radar,321001,(Profileur du vent - caractéristiques de l'antenne),,002121,Fréquence moyenne,,,,Operational,PDF
bufr4/3/21/003/1/021051,21,Séquences correspondant à des messages de mesures par radar,321003,(Profileur du vent - données relatives au moment),,021051,Puissance du signal supérieure à 1 mW,,,,Operational,PDF
bufr4/3/21/003/2/021014,21,Séquences correspondant à des messages de mesures par radar,321003,(Profileur du vent - données relatives au moment),,021014,Vitesse Doppler moyenne (radiale),,,,Operational,PDF
bufr4/3/21/003/3/021017,21,Séquences correspondant à des messages de mesures par radar,321003,(Profileur du vent - données relatives au moment),,021017,Largeur spectrale de la vitesse Doppler,,,,Operational,PDF
bufr4/3/21/003/4/021030,21,Séquences correspondant à des messages de mesures par radar,321003,(Profileur du vent - données relatives au moment),,021030,Rapport signal-bruit,,,,Operational,PDF
bufr4/3/21/004/1/301031,21,Séquences correspondant à des messages de mesures par radar,321004,(Profileur du vent - sondage des données relatives au moment),,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational,PDF
bufr4/3/21/004/2/002003,21,Séquences correspondant à des messages de mesures par radar,321004,(Profileur du vent - sondage des données relatives au moment),,002003,Type d'équipement de mesure utilisé,,,,Operational,PDF
bufr4/3/21/004/3/101000,21,Séquences correspondant à des messages de mesures par radar,321004,(Profileur du vent - sondage des données relatives au moment),,101000,Répétition différée de 1 descripteur,,,,Operational,PDF
bufr4/3/21/004/4/031001,21,Séquences correspondant à des messages de mesures par radar,321004,(Profileur du vent - sondage des données relatives au moment),,031001,Facteur de répétition différée du descripteur,,,,Operational,PDF
bufr4/3/21/004/5/321003,21,Séquences correspondant à des messages de mesures par radar,321004,(Profileur du vent - sondage des données relatives au moment),,321003,Profileur du vent - données relatives au moment,,,,Operational,PDF
bufr4/3/21/005/1/025004,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,025004,Traitement des échos,,,,Operational,PDF
bufr4/3/21/005/2/002121,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002121,Fréquence moyenne,,,,Operational,PDF
bufr4/3/21/005/3/002122,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002122,Gamme d'agilité de fréquence,,,,Operational,PDF
bufr4/3/21/005/4/002123,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002123,Puissance de crête,,,,Operational,PDF
bufr4/3/21/005/5/002124,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002124,Puissance moyenne,,,,Operational,PDF
bufr4/3/21/005/6/002125,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002125,Fréquence de répétition des impulsions,,,,Operational,PDF
bufr4/3/21/005/7/002126,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002126,Largeur d'impulsion,,,,Operational,PDF
bufr4/3/21/005/8/002127,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002127,Fréquence intermédiaire du récepteur,,,,Operational,PDF
bufr4/3/21/005/9/002128,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002128,Bande passante aux fréquences intermédiaires,,,,Operational,PDF
bufr4/3/21/005/10/002129,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002129,Signal minimal détectable,,,,Operational,PDF
bufr4/3/21/005/11/002130,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002130,Portée dynamique,,,,Operational,PDF
bufr4/3/21/005/12/002131,21,Séquences correspondant à des messages de mesures par radar,321005,(Caractéristiques des émetteurs-récepteurs),,002131,Commande de gain variable dans le temps,,,,Operational,PDF
bufr4/3/21/006/1/025001,21,Séquences correspondant à des messages de mesures par radar,321006,(Caractéristiques d'intégration),,025001,Distance de la porte d'intégration,,,,Operational,PDF
bufr4/3/21/006/2/025002,21,Séquences correspondant à des messages de mesures par radar,321006,(Caractéristiques d'intégration),,025002,Nombre moyen de portes,,,,Operational,PDF
bufr4/3/21/006/3/025003,21,Séquences correspondant à des messages de mesures par radar,321006,(Caractéristiques d'intégration),,025003,Nombre d'impulsions intégrées,,,,Operational,PDF
bufr4/3/21/006/4/025005,21,Séquences correspondant à des messages de mesures par radar,321006,(Caractéristiques d'intégration),,025005,Intégration des échos,,,,Operational,PDF
bufr4/3/21/007/1/025009,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025009,Méthode d'étalonnage,,,,Operational,PDF
bufr4/3/21/007/2/025010,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025010,Traitement des échos fixes,,,,Operational,PDF
bufr4/3/21/007/3/025011,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025011,Correction des échos de sol (filtrage),,,,Operational,PDF
bufr4/3/21/007/4/025012,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025012,Correction de l'atténuation de portée,,,,Operational,PDF
bufr4/3/21/007/5/025013,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025013,Correction de la bande brillante,,,,Operational,PDF
bufr4/3/21/007/6/025015,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025015,Correction de l'atténuation par le radôme,,,,Operational,PDF
bufr4/3/21/007/7/025016,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025016,Correction de l'atténuation en air clair,,,,Operational,PDF
bufr4/3/21/007/8/025017,21,Séquences correspondant à des messages de mesures par radar,321007,(Corrections),,025017,Correction de l'atténuation par les précipitations,,,,Operational,PDF
bufr4/3/21/008/1/025006,21,Séquences correspondant à des messages de mesures par radar,321008,(Conversion de Z à R),,025006,Conversion Z - R,,,,Operational,PDF
bufr4/3/21/008/2/025007,21,Séquences correspondant à des messages de mesures par radar,321008,(Conversion de Z à R),,025007,Facteur de conversion Z - R,,,,Operational,PDF
bufr4/3/21/008/3/025008,21,Séquences correspondant à des messages de mesures par radar,321008,(Conversion de Z à R),,025008,Exposant de conversion Z - R,,,,Operational,PDF
bufr4/3/21/009/1/025018,21,Séquences correspondant à des messages de mesures par radar,321009,(Loi reliant A à Z),,025018,Loi reliant A à Z pour le facteur d'atténuation,,,,Operational,PDF
bufr4/3/21/009/2/025019,21,Séquences correspondant à des messages de mesures par radar,321009,(Loi reliant A à Z),,025019,Loi reliant A à Z pour l'exposant d'atténuation,,,,Operational,PDF
bufr4/3/21/010/1/002101,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002101,Type d'antenne,,,,Operational,PDF
bufr4/3/21/010/2/007002,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,007002,Hauteur ou altitude,Altitude de la base du pylône,,,Operational,PDF
bufr4/3/21/010/3/002102,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002102,Hauteur de l'antenne au-dessus de la base du pylône,,,,Operational,PDF
bufr4/3/21/010/4/002103,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002103,Radôme,,,,Operational,PDF
bufr4/3/21/010/5/002104,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002104,Polarisation de l'antenne,,,,Operational,PDF
bufr4/3/21/010/6/002105,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002105,Gain maximal de l'antenne,,,,Operational,PDF
bufr4/3/21/010/7/002106,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002106,Ouverture de faisceau à 3 dB,,,,Operational,PDF
bufr4/3/21/010/8/002107,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002107,Suppression des lobes latéraux,,,,Operational,PDF
bufr4/3/21/010/9/002108,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002108,Rapport de découplage de polarisation croisée dans l'axe,,,,Operational,PDF
bufr4/3/21/010/10/002109,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002109,Vitesse angulaire de l'antenne (en azimut),,,,Operational,PDF
bufr4/3/21/010/11/002110,21,Séquences correspondant à des messages de mesures par radar,321010,(Caractéristiques de l'antenne),,002110,Vitesse angulaire de l'antenne (en élévation),,,,Operational,PDF
