ID,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translation_source
bufr4/0/40/005/1,040005,Indicateur de correction de l'humidité du sol,1,Humidité du sol entre -20 % et 0 %,,,,,Operational,PDF
bufr4/0/40/005/2,040005,Indicateur de correction de l'humidité du sol,2,Humidité du sol entre 100 % et 120 %,,,,,Operational,PDF
bufr4/0/40/005/3,040005,Indicateur de correction de l'humidité du sol,3,Correction de la référence de rétrodiffusion par conditions humides,,,,,Operational,PDF
bufr4/0/40/005/4,040005,Indicateur de correction de l'humidité du sol,4,Correction de la référence de rétrodiffusion par conditions sèches,,,,,Operational,PDF
bufr4/0/40/005/5,040005,Indicateur de correction de l'humidité du sol,5,Correction de la diffusion du volume dans le sable,,,,,Operational,PDF
bufr4/0/40/005/6-7,040005,Indicateur de correction de l'humidité du sol,6-7,En réserve,,,,,Operational,PDF
bufr4/0/40/005/All-8,040005,Indicateur de correction de l'humidité du sol,8 bits mis à 1,Valeur manquante,,,,,Operational,PDF
bufr4/0/40/006/1,040006,Indicateur de traitement de l'humidité du sol,1,Pas de sol,,,,,Operational,PDF
bufr4/0/40/006/2,040006,Indicateur de traitement de l'humidité du sol,2,Sensibilité à l'humidité du sol inférieure au seuil,,,,,Operational,PDF
bufr4/0/40/006/3,040006,Indicateur de traitement de l'humidité du sol,3,Bruit en azimut supérieur au seuil,,,,,Operational,PDF
bufr4/0/40/006/4,040006,Indicateur de traitement de l'humidité du sol,4,Rétrodiffusion faisceaux avant-arrière hors limites,,,,,Operational,PDF
bufr4/0/40/006/5,040006,Indicateur de traitement de l'humidité du sol,5,Pente faisceaux médian-avant hors limites,,,,,Operational,PDF
bufr4/0/40/006/6,040006,Indicateur de traitement de l'humidité du sol,6,Pente faisceaux médian-arrière hors limites,,,,,Operational,PDF
bufr4/0/40/006/7,040006,Indicateur de traitement de l'humidité du sol,7,Humidité du sol inférieure à -20 %,,,,,Operational,PDF
bufr4/0/40/006/8,040006,Indicateur de traitement de l'humidité du sol,8,Humidité du sol inférieure à 120 %,,,,,Operational,PDF
bufr4/0/40/006/9-15,040006,Indicateur de traitement de l'humidité du sol,9-15,En réserve,,,,,Operational,PDF
bufr4/0/40/006/All-16,040006,Indicateur de traitement de l'humidité du sol,16 bits mis à 1,Valeur manquante,,,,,Operational,PDF
bufr4/0/40/011/1,040011,Indicateur d'interpolation,1,Indicateur d'interpolation de la surface moyenne de la mer,,,,,Operational,PDF
bufr4/0/40/011/2,040011,Indicateur d'interpolation,2,"Indicateur d'interpolation de la marée océanique (solution 1) (0 = 4 points au-dessus de l'océan, 1 = moins de 4 points)",,,,,Operational,PDF
bufr4/0/40/011/3,040011,Indicateur d'interpolation,3,"Indicateur d'interpolation de la marée océanique (solution 2) (0 = 4 points au-dessus de l'océan, 1 = moins de 4 points)",,,,,Operational,PDF
bufr4/0/40/011/4,040011,Indicateur d'interpolation,4,"Indicateur d'interpolation des données météorologiques (0 = 4 points au-dessus de l'océan, 1 = moins de 4 points)",,,,,Operational,PDF
bufr4/0/40/011/5-7,040011,Indicateur d'interpolation,5-7,En réserve,,,,,Operational,PDF
bufr4/0/40/011/All-8,040011,Indicateur d'interpolation,8 bits mis à 1,Valeur manquante,,,,,Operational,PDF
bufr4/0/40/012/1,040012,Indicateur de qualité des données du radiomètre,1,"Température de luminance en bande 18,7 GHz",,,,,Operational,PDF
bufr4/0/40/012/2,040012,Indicateur de qualité des données du radiomètre,2,"Température de luminance en bande 23,8 GHz",,,,,Operational,PDF
bufr4/0/40/012/3,040012,Indicateur de qualité des données du radiomètre,3,Température de luminance en bande 34 GHz,,,,,Operational,PDF
bufr4/0/40/012/4-7,040012,Indicateur de qualité des données du radiomètre,4-7,En réserve,,,,,Operational,PDF
bufr4/0/40/012/All-8,040012,Indicateur de qualité des données du radiomètre,8 bits mis à 1,Valeur manquante,,,,,Operational,PDF
bufr4/0/40/013/0,040013,Indicateur d'interprétation de la température de luminance du radiomètre,0,Interpolation sans interruption dans les données du JMR,,,,,Operational,PDF
bufr4/0/40/013/1,040013,Indicateur d'interprétation de la température de luminance du radiomètre,1,Interpolation avec interruptions dans les données du JMR,,,,,Operational,PDF
bufr4/0/40/013/2,040013,Indicateur d'interprétation de la température de luminance du radiomètre,2,Extrapolation des données du JMR,,,,,Operational,PDF
bufr4/0/40/013/3,040013,Indicateur d'interprétation de la température de luminance du radiomètre,3,Défaillance de l'extrapolation et de l'interpolation,,,,,Operational,PDF
bufr4/0/40/013/4-6,040013,Indicateur d'interprétation de la température de luminance du radiomètre,4-6,En réserve,,,,,Operational,PDF
