ID,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translation_source,
bufr4/3/07/001/1/301031,07,Séquences correspondant à des messages d'observation en surface (terre),307001,(Station à basse altitude),,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational,Original,
bufr4/3/07/001/2/302011,07,Séquences correspondant à des messages d'observation en surface (terre),307001,(Station à basse altitude),,302011,Station à basse altitude,Message d'observation en surface de base,,,Operational,Original,
bufr4/3/07/002/1/301032,07,Séquences correspondant à des messages d'observation en surface (terre),307002,(Station à basse altitude),,301032,"Identification et type de station, date/heure, position (faible précision), hauteur de la station",,,,Operational,Original,
bufr4/3/07/002/2/302011,07,Séquences correspondant à des messages d'observation en surface (terre),307002,(Station à basse altitude),,302011,Station à basse altitude,Message d'observation en surface de base,,,Operational,Original,
bufr4/3/07/003/1/307001,07,Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,307001,Station à basse altitude,Position (précision élevée) et message d'observation de base,,,Operational,Original,
bufr4/3/07/003/2/101000,07,Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,101000,Répétition différée de 1 descripteur,,,,Operational,Original,
bufr4/3/07/003/3/031001,07,Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,031001,Facteur de répétition différée du descripteur,,,,Operational,Original,
bufr4/3/07/003/4/302005,07,Séquences correspondant à des messages d'observation en surface (terre),307003,(Station à basse altitude),,302005,Couche nuageuse,,,,Operational,Original,
bufr4/3/07/004/1/307002,07,Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,307002,Station à basse altitude,Position (faible précision) et message d'observation de base,,,Operational,Original,
bufr4/3/07/004/2/101000,07,Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,101000,Répétition différée de 1 descripteur,,,,Operational,Original,
bufr4/3/07/004/3/031001,07,Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,031001,Facteur de répétition différée du descripteur,,,,Operational,Original,
bufr4/3/07/004/4/302005,07,Séquences correspondant à des messages d'observation en surface (terre),307004,(Station à basse altitude),,302005,Couche nuageuse,,,,Operational,Original,
bufr4/3/07/005/1/307001,07,Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,307001,Station à basse altitude,Position (précision élevée) et message d'observation de base,,,Operational,Original,
bufr4/3/07/005/2/101004,07,Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,101004,Répéter 1 descripteur 4 fois,,,,Operational,Original,
bufr4/3/07/005/3/302005,07,Séquences correspondant à des messages d'observation en surface (terre),307005,(Station à basse altitude),,302005,Couche nuageuse,4 couches,,,Operational,Original,
bufr4/3/07/006/1/307002,07,Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,307002,Station à basse altitude,Position (faible précision) et message d'observation de base,,,Operational,Original,
bufr4/3/07/006/2/101004,07,Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,101004,Répéter 1 descripteur 4 fois,,,,Operational,Original,
bufr4/3/07/006/3/302005,07,Séquences correspondant à des messages d'observation en surface (terre),307006,(Station à basse altitude),,302005,Couche nuageuse,4 couches,,,Operational,Original,
bufr4/3/07/007/1/301031,07,Séquences correspondant à des messages d'observation en surface (terre),307007,(Station à haute altitude),,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational,Original,
bufr4/3/07/007/2/302012,07,Séquences correspondant à des messages d'observation en surface (terre),307007,(Station à haute altitude),,302012,Station à haute altitude,Message d'observation en surface de base,,,Operational,Original,
bufr4/3/07/008/1/301032,07,Séquences correspondant à des messages d'observation en surface (terre),307008,(Station à haute altitude),,301032,"Identification et type de station, date/heure, position (faible précision), hauteur de la station",,,,Operational,Original,
bufr4/3/07/008/2/302012,07,Séquences correspondant à des messages d'observation en surface (terre),307008,(Station à haute altitude),,302012,Station à haute altitude,Message d'observation en surface de base,,,Operational,Original,
bufr4/3/07/009/1/301031,07,Séquences correspondant à des messages d'observation en surface (terre),307009,,,301031,"Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,,,Operational,Original,
bufr4/3/07/009/2/302013,07,Séquences correspondant à des messages d'observation en surface (terre),307009,,,302013,Message d'observation en surface de base,,,,Operational,Original,
bufr4/3/07/011/1/001063,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,001063,Indicateur d'emplacement OACI,,,,Operational,Original,
bufr4/3/07/011/2/002001,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,002001,Type de station,,,,Operational,Original,
bufr4/3/07/011/3/301011,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301011,"Année, mois, jour",YY,,,Operational,Original,
bufr4/3/07/011/4/301012,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301012,"Heure, minute","GG, gg",,,Operational,Original,
bufr4/3/07/011/5/301024,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,301024,"Latitude/longitude (faible précision), hauteur de la station",,,,Operational,Original,
bufr4/3/07/011/6/007006,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,007006,Hauteur au-dessus de la station,Hauteur d'un anémomètre,,,Operational,Original,
bufr4/3/07/011/7/011001,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,011001,Direction du vent,,,,Operational,Original,
bufr4/3/07/011/8/011016,07,Séquences correspondant à des messages d'observation en surface (terre),307011,(Partie principale des données pour la représentation du code METAR/SPECI dans BUFR),,011016,Direction du vent extrême dans le sens contraire des aiguilles d'une montre,,,,Operational,Original,
