ID,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translation_source
bufr4/0/13/001,13,Éléments hygrographiques et hydrologiques,013001,Humidité spécifique,kg/kg,5,0,14,kg/kg,5,5,,,Operational,Original
bufr4/0/13/002,13,Éléments hygrographiques et hydrologiques,013002,Rapport de mélange,kg/kg,5,0,14,kg/kg,5,5,,,Operational,Original
bufr4/0/13/003,13,Éléments hygrographiques et hydrologiques,013003,Humidité relative,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/13/004,13,Éléments hygrographiques et hydrologiques,013004,Tension de vapeur,Pa,-1,0,10,Pa,-1,4,,,Operational,Original
bufr4/0/13/005,13,Éléments hygrographiques et hydrologiques,013005,Masse volumique de la vapeur d'eau,kg m-3,3,0,7,kg m-3,3,3,,,Operational,Original
bufr4/0/13/006,13,Éléments hygrographiques et hydrologiques,013006,Hauteurs de mélange,m,-1,-40,16,m,-1,5,,,Operational,Original
bufr4/0/13/007,13,Éléments hygrographiques et hydrologiques,013007,Humidité relative minimale,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/13/008,13,Éléments hygrographiques et hydrologiques,013008,Humidité relative maximale,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/13/009,13,Éléments hygrographiques et hydrologiques,013009,Humidité relative,%,1,-1000,12,%,1,4,(voir Note 6),39,Operational,Original
bufr4/0/13/011,13,Éléments hygrographiques et hydrologiques,013011,Précipitations totales/valeur totale de l'équivalent en eau,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/012,13,Éléments hygrographiques et hydrologiques,013012,Épaisseur de neige fraîche,m,2,-2,12,m,2,4,(voir Note 2),26,Operational,Original
bufr4/0/13/013,13,Éléments hygrographiques et hydrologiques,013013,Hauteur totale de la couche de neige,m,2,-2,16,m,2,5,(voir Note 2),26,Operational,Original
bufr4/0/13/014,13,Éléments hygrographiques et hydrologiques,013014,Chute de pluie/équivalent en eau de la neige (moyenne),kg m-2 s-1,4,0,12,kg m-2 s-1,4,4,,,Operational,Original
bufr4/0/13/015,13,Éléments hygrographiques et hydrologiques,013015,Chute de neige (moyenne),m/s,7,0,12,m/s,7,4,,,Operational,Original
bufr4/0/13/016,13,Éléments hygrographiques et hydrologiques,013016,Eau précipitable,kg m-2,0,0,7,kg m-2,0,3,,,Operational,Original
bufr4/0/13/019,13,Éléments hygrographiques et hydrologiques,013019,Quantité totale de précipitations au cours de l'heure précédente,kg m-2,1,-1,14,kg m-2,1,4,,,Operational,Original
bufr4/0/13/020,13,Éléments hygrographiques et hydrologiques,013020,Quantité totale de précipitations au cours des 3 heures précédentes,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/021,13,Éléments hygrographiques et hydrologiques,013021,Quantité totale de précipitations au cours des 6 heures précédentes,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/022,13,Éléments hygrographiques et hydrologiques,013022,Quantité totale de précipitations au cours des 12 heures précédentes,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/023,13,Éléments hygrographiques et hydrologiques,013023,Quantité totale de précipitations au cours des 24 heures précédentes,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/031,13,Éléments hygrographiques et hydrologiques,013031,Évapotranspiration,kg m-2,0,0,7,kg m-2,0,3,,,Operational,Original
bufr4/0/13/032,13,Éléments hygrographiques et hydrologiques,013032,Évaporation/évapotranspiration,kg m-2,1,0,8,kg m-2,1,3,(voir Note 5),53,Operational,Original
bufr4/0/13/033,13,Éléments hygrographiques et hydrologiques,013033,Évaporation/évapotranspiration,kg m-2,1,0,10,kg m-2,1,4,,,Operational,Original
bufr4/0/13/038,13,Éléments hygrographiques et hydrologiques,013038,Indicateur superadiabatique,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/13/039,13,Éléments hygrographiques et hydrologiques,013039,Type de terrain (glace/neige),Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/13/040,13,Éléments hygrographiques et hydrologiques,013040,Indicateur de surface,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/13/041,13,Éléments hygrographiques et hydrologiques,013041,Catégorie de stabilité de Pasquill-Gifford,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/13/042,13,Éléments hygrographiques et hydrologiques,013042,Indice de soulèvement d'une particule (à 500 hPa),K,0,-20,6,K,0,2,(voir Notes 3 et 4),"119,130",Operational,Original
bufr4/0/13/043,13,Éléments hygrographiques et hydrologiques,013043,Indice de soulèvement optimal (à 500 hPa),K,0,-20,6,K,0,2,(voir Notes 3 et 4),"119,130",Operational,Original
bufr4/0/13/044,13,Éléments hygrographiques et hydrologiques,013044,Indice K,K,0,-30,8,K,0,3,,,Operational,Original
bufr4/0/13/045,13,Éléments hygrographiques et hydrologiques,013045,Indice KO,K,0,-30,8,K,0,3,,,Operational,Original
bufr4/0/13/046,13,Éléments hygrographiques et hydrologiques,013046,Poussée d'Archimède maximale,K,0,-30,8,K,0,3,,,Operational,Original
bufr4/0/13/047,13,Éléments hygrographiques et hydrologiques,013047,Indice de stabilité de Showalter modifié,K,0,-60,6,°C,0,2,(voir Note 7),129,Operational,Original
bufr4/0/13/048,13,Éléments hygrographiques et hydrologiques,013048,Fraction d'eau,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/13/051,13,Éléments hygrographiques et hydrologiques,013051,"Groupe de fréquence, précipitations",Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/13/052,13,Éléments hygrographiques et hydrologiques,013052,Quantité journalière de précipitations la plus élevée,kg m-2,1,-1,14,kg m-2,1,5,,,Operational,Original
bufr4/0/13/055,13,Éléments hygrographiques et hydrologiques,013055,Intensité des précipitations,kg m-2 s-1,4,0,8,mm/h,1,4,,,Operational,Original
bufr4/0/13/056,13,Éléments hygrographiques et hydrologiques,013056,Caractère et intensité des précipitations,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/13/057,13,Éléments hygrographiques et hydrologiques,013057,Heure du début ou de la fin des précipitations,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/13/058,13,Éléments hygrographiques et hydrologiques,013058,Diamètre des particules formant les précipitations,m,4,0,7,m,1,3,,,Operational,Original
bufr4/0/13/059,13,Éléments hygrographiques et hydrologiques,013059,Nombre d'éclairs (orage),Numérique,0,0,7,Numérique,0,3,,,Operational,Original
bufr4/0/13/060,13,Éléments hygrographiques et hydrologiques,013060,Précipitations totales cumulées,kg m-2,1,-1,17,kg m-2,1,5,,,Operational,Original
bufr4/0/13/071,13,Éléments hygrographiques et hydrologiques,013071,Niveau d'eau en amont,m,2,0,14,m,2,4,,,Operational,Original
bufr4/0/13/072,13,Éléments hygrographiques et hydrologiques,013072,Niveau d'eau en aval,m,2,0,14,m,2,4,,,Operational,Original
bufr4/0/13/073,13,Éléments hygrographiques et hydrologiques,013073,Niveau d'eau maximal,m,2,0,14,m,2,4,,,Operational,Original
bufr4/0/13/074,13,Éléments hygrographiques et hydrologiques,013074,Niveau de la nappe,m,2,0,18,m,2,6,,,Operational,Original
bufr4/0/13/080,13,Éléments hygrographiques et hydrologiques,013080,pH de l'eau,Unité pH,1,0,10,Unité pH,1,3,,,Operational,Original
bufr4/0/13/081,13,Éléments hygrographiques et hydrologiques,013081,Conductivité de l'eau,S/m,3,0,14,S/m,3,4,,,Operational,Original
bufr4/0/13/082,13,Éléments hygrographiques et hydrologiques,013082,Température de l'eau,K,1,0,12,K,1,4,,,Operational,Original
bufr4/0/13/083,13,Éléments hygrographiques et hydrologiques,013083,Oxygène dissous,kg m-3,6,0,15,kg m-3,6,5,,,Operational,Original
bufr4/0/13/084,13,Éléments hygrographiques et hydrologiques,013084,Turbidité,lm,0,0,14,lm,0,4,,,Operational,Original
bufr4/0/13/085,13,Éléments hygrographiques et hydrologiques,013085,Potentiel de réduction d'oxydation,V,3,0,14,V,3,4,,,Operational,Original
bufr4/0/13/090,13,Éléments hygrographiques et hydrologiques,013090,Teneur en vapeur d'eau indiquée par le radiomètre,kg m-2,1,0,10,kg m-2,1,4,,,Operational,Original
bufr4/0/13/091,13,Éléments hygrographiques et hydrologiques,013091,Teneur en eau liquide indiquée par le radiomètre,kg m-2,2,0,8,kg m-2,2,3,,,Operational,Original
bufr4/0/13/093,13,Éléments hygrographiques et hydrologiques,013093,Épaisseur optique des nuages,Numérique,0,0,8,Numérique,0,3,,,Operational,Original
bufr4/0/13/094,13,Éléments hygrographiques et hydrologiques,013094,Log10 de l'épaisseur optique des nuages,Numérique,3,-2000,14,Numérique,3,5,,,Operational,AI Translator: MCP
bufr4/0/13/095,13,Éléments hygrographiques et hydrologiques,013095,Colonne totale de vapeur d'eau,kg m-2,4,0,19,kg m-2,4,6,,,Operational,Original
bufr4/0/13/096,13,Éléments hygrographiques et hydrologiques,013096,Teneur en vapeur d'eau - données MWR,kg m-2,2,0,14,kg m-2,2,5,,,Operational,Original
bufr4/0/13/097,13,Éléments hygrographiques et hydrologiques,013097,Teneur en eau liquide - données MWR,kg m-2,2,0,14,kg m-2,2,5,,,Operational,Original
bufr4/0/13/098,13,Éléments hygrographiques et hydrologiques,013098,Humidité absolue intégrée,kg m-2,8,0,30,kg m-2,8,10,,,Operational,Original
bufr4/0/13/099,13,Éléments hygrographiques et hydrologiques,013099,Log10 de la concentration intégrée de particules dans les nuages,log(m-2),1,0,7,log(m-2),1,3,,,Operational,Original
bufr4/0/13/100,13,Éléments hygrographiques et hydrologiques,013100,Log10 de la surface intégrée des particules dans les nuages,log(m2 m-2),1,-70,7,log(m2 m-2),1,2,,,Operational,Original
bufr4/0/13/101,13,Éléments hygrographiques et hydrologiques,013101,Log10 du volume intégré des particules dans les nuages,log(m3 m-2),1,-140,7,log(m3 m-2),1,3,,,Operational,Original
bufr4/0/13/109,13,Éléments hygrographiques et hydrologiques,013109,Teneur en glace/eau liquide,kg m-2,3,0,10,kg m-2,3,4,,,Operational,Original
bufr4/0/13/110,13,Éléments hygrographiques et hydrologiques,013110,Rapport de mélange,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/13/111,13,Éléments hygrographiques et hydrologiques,013111,Humidité du sol,g/kg,0,0,10,g/kg,0,4,,,Operational,Original
bufr4/0/13/112,13,Éléments hygrographiques et hydrologiques,013112,Durée du mouillage des surfaces,s,0,0,17,s,0,5,,,Operational,Original
bufr4/0/13/114,13,Éléments hygrographiques et hydrologiques,013114,Vitesse d'accumulation de la glace,kg m-2 h-1,1,0,11,kg m-2 h-1,1,4,,,Operational,Original
bufr4/0/13/115,13,Éléments hygrographiques et hydrologiques,013115,Épaisseur de la glace,m,2,0,19,m,2,6,(voir Note 9),88,Operational,Original
bufr4/0/13/116,13,Éléments hygrographiques et hydrologiques,013116,Épaisseur de la pellicule d'eau,m,4,0,10,m,3,2,,,Operational,Original
bufr4/0/13/117,13,Éléments hygrographiques et hydrologiques,013117,Masse volumique de la neige (teneur en eau liquide),kg m-3,0,0,10,kg m-3,0,3,,,Operational,Original
