ID,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translation_source
bufr4/0/33/002/0,033002,Informations sur la qualité,0,Données certaines,,,,,Operational,PDF
bufr4/0/33/002/1,033002,Informations sur la qualité,1,Données douteuses,,,,,Operational,PDF
bufr4/0/33/002/2,033002,Informations sur la qualité,2,En réserve,,,,,Operational,PDF
bufr4/0/33/002/3,033002,Informations sur la qualité,3,Informations sur la qualité non communiquées,,,,,Operational,PDF
bufr4/0/33/003/0,033003,Informations sur la qualité,0,Données certaines,,,,,Operational,PDF
bufr4/0/33/003/1,033003,Informations sur la qualité,1,Données légèrement douteuses,,,,,Operational,PDF
bufr4/0/33/003/2,033003,Informations sur la qualité,2,Données très douteuses,,,,,Operational,PDF
bufr4/0/33/003/3,033003,Informations sur la qualité,3,Données considérées comme inexploitables,,,,,Operational,PDF
bufr4/0/33/003/4-6,033003,Informations sur la qualité,4-6,En réserve,,,,,Operational,PDF
bufr4/0/33/003/7,033003,Informations sur la qualité,7,Informations sur la qualité non communiquées,,,,,Operational,PDF
bufr4/0/33/005/1,033005,Informations sur la qualité (données des stations météorologiques automatiques),1,Aucune vérification automatique des données météorologiques n'a été effectuée,,,,,Operational,PDF
bufr4/0/33/005/2,033005,Informations sur la qualité (données des stations météorologiques automatiques),2,Données douteuses - Pression,,,,,Operational,PDF
bufr4/0/33/005/3,033005,Informations sur la qualité (données des stations météorologiques automatiques),3,Données douteuses - Vent,,,,,Operational,PDF
bufr4/0/33/005/4,033005,Informations sur la qualité (données des stations météorologiques automatiques),4,Données douteuses - Température de l'air,,,,,Operational,PDF
bufr4/0/33/005/5,033005,Informations sur la qualité (données des stations météorologiques automatiques),5,Données douteuses - Température du thermomètre mouillé,,,,,Operational,PDF
bufr4/0/33/005/6,033005,Informations sur la qualité (données des stations météorologiques automatiques),6,Données douteuses - Humidité,,,,,Operational,PDF
bufr4/0/33/005/7,033005,Informations sur la qualité (données des stations météorologiques automatiques),7,Données douteuses - Température au sol,,,,,Operational,PDF
bufr4/0/33/005/8,033005,Informations sur la qualité (données des stations météorologiques automatiques),8,Données douteuses - Température du sol (profondeur 1),,,,,Operational,PDF
bufr4/0/33/005/9,033005,Informations sur la qualité (données des stations météorologiques automatiques),9,Données douteuses - Température du sol (profondeur 2),,,,,Operational,PDF
bufr4/0/33/005/10,033005,Informations sur la qualité (données des stations météorologiques automatiques),10,Données douteuses - Température du sol (profondeur 3),,,,,Operational,PDF
bufr4/0/33/005/11,033005,Informations sur la qualité (données des stations météorologiques automatiques),11,Données douteuses - Température du sol (profondeur 4),,,,,Operational,PDF
bufr4/0/33/005/12,033005,Informations sur la qualité (données des stations météorologiques automatiques),12,Données douteuses - Température du sol (profondeur 5),,,,,Operational,PDF
bufr4/0/33/005/13,033005,Informations sur la qualité (données des stations météorologiques automatiques),13,Données douteuses - Nuages,,,,,Operational,PDF
bufr4/0/33/005/14,033005,Informations sur la qualité (données des stations météorologiques automatiques),14,Données douteuses - Visibilité,,,,,Operational,PDF
bufr4/0/33/005/15,033005,Informations sur la qualité (données des stations météorologiques automatiques),15,Données douteuses - Temps présent,,,,,Operational,PDF
bufr4/0/33/005/16,033005,Informations sur la qualité (données des stations météorologiques automatiques),16,Données douteuses - Foudre,,,,,Operational,PDF
bufr4/0/33/005/17,033005,Informations sur la qualité (données des stations météorologiques automatiques),17,Données douteuses - Dépôt de glace,,,,,Operational,PDF
bufr4/0/33/005/18,033005,Informations sur la qualité (données des stations météorologiques automatiques),18,Données douteuses - Précipitations,,,,,Operational,PDF
bufr4/0/33/005/19,033005,Informations sur la qualité (données des stations météorologiques automatiques),19,Données douteuses - état du sol,,,,,Operational,PDF
bufr4/0/33/005/20,033005,Informations sur la qualité (données des stations météorologiques automatiques),20,Données douteuses - Neige,,,,,Operational,PDF
bufr4/0/33/005/21,033005,Informations sur la qualité (données des stations météorologiques automatiques),21,Données douteuses - Teneur en eau,,,,,Operational,PDF
bufr4/0/33/005/22,033005,Informations sur la qualité (données des stations météorologiques automatiques),22,Données douteuses - évaporation/ évapotranspiration,,,,,Operational,PDF
bufr4/0/33/005/23,033005,Informations sur la qualité (données des stations météorologiques automatiques),23,Données douteuses - Insolation,,,,,Operational,PDF
bufr4/0/33/005/24-29,033005,Informations sur la qualité (données des stations météorologiques automatiques),24-29,En réserve,,,,,Operational,PDF
bufr4/0/33/005/All-30,033005,Informations sur la qualité (données des stations météorologiques automatiques),30 bits mis à 1,Valeur manquante,,,,,Operational,PDF
bufr4/0/33/006/0,033006,Informations sur la situation interne des mesures (stations météorologiques automatiques),0,Autovérification correcte,,,,,Operational,PDF
bufr4/0/33/006/1,033006,Informations sur la situation interne des mesures (stations météorologiques automatiques),1,"Au moins un avertissement, aucune alarme",,,,,Operational,PDF
