ID,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translation_source
bufr4/0/15/001,15,Constituants physiques/chimiques,015001,Ozone total,DU,0,0,10,DU,0,4,,,Operational,Original
bufr4/0/15/002,15,Constituants physiques/chimiques,015002,Masse d'air (correspondant à une trajectoire oblique à une altitude de 22 km),Numérique,2,0,10,Numérique,2,3,,,Operational,Original
bufr4/0/15/003,15,Constituants physiques/chimiques,015003,Pression partielle de l'ozone mesuré (sondage),Pa,4,0,9,nbar,0,3,(voir Note 1),1,Operational,Original
bufr4/0/15/004,15,Constituants physiques/chimiques,015004,Facteur de correction du sondage de l'ozone (CF),Numérique,3,0,11,Numérique,3,4,(voir Note 2),2,Operational,Original
bufr4/0/15/005,15,Constituants physiques/chimiques,015005,Pression partielle de l'ozone,DU,0,0,10,DU,0,3,(voir Note 3),3,Operational,Original
bufr4/0/15/006,15,Constituants physiques/chimiques,015006,Log10 de la concentration en nombre des particules de l'atmosphère,log(m-3),5,1800000,20,log(m-3),5,7,,,Operational,Original
bufr4/0/15/007,15,Constituants physiques/chimiques,015007,Quantité estimée de constituant chimique,DU,2,0,16,DU,2,6,,,Operational,AI Translator: MCP
bufr4/0/15/008,15,Constituants physiques/chimiques,015008,Mantisse du rapport de mélange volumétrique,Numérique,0,0,10,Numérique,0,4,,,Operational,Original
bufr4/0/15/009,15,Constituants physiques/chimiques,015009,Log10 de la concentration en nombre de molécules d'ozone,log(m-3),5,1200000,20,log(m-3),5,7,,,Operational,Original
bufr4/0/15/011,15,Constituants physiques/chimiques,015011,Log10 de la densité électronique intégrée,log (m-2),3,14000,13,log (m-2),3,4,,,Operational,Original
bufr4/0/15/012,15,Constituants physiques/chimiques,015012,Nombre total d'électrons par mètre carré,m-2,-16,0,6,m-2,-16,2,,,Operational,Original
